"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"acylcarnitine 18:1",0.20446,0.40227,0.42164,0.41374,0.41689,0.47114,0.51967,0.52331
"Cer d42:2 Isomer A",0.20386,0.4182,0.39498,0.46173,0.45422,0.54591,0.54406,0.54588
"TG 55:3",0.19459,0.15672,0.24369,0.5139,0.51296,0.51614,0.51352,0.51238
"PE P-36:2 or PE O-36:3",0.19157,0.16047,0.17298,0.87724,0.86358,0.84796,0.86961,0.86588
"acylcarnitine 10:0",0.19102,0.43951,0.53645,0.60354,0.62774,0.61802,0.62892,0.6262
"CE 18:1",0.19066,0.84169,0.80638,0.841,0.8281,0.81982,0.81358,0.81042
"PI 34:1 Isomer A",0.18149,0.37235,0.51976,0.49419,0.48656,0.48727,0.5368,0.54096
"TG 49:2",0.18119,0.28828,0.33016,0.67917,0.6719,0.68352,0.6785,0.67761
"FA 22:0 (behenic acid)",0.17894,0.48256,0.49719,0.59368,0.58804,0.58066,0.59234,0.58973
"Cer d34:0",0.17893,0.19468,0.3197,0.33744,0.37121,0.37456,0.37951,0.37872
"TG 51:4",0.17772,0.297,0.29971,0.49771,0.51434,0.52964,0.54963,0.59631
"PC O-40:2 or PC 40:2e",0.17679,0.18549,0.39709,0.38204,0.37925,0.37341,0.37396,0.43583
"FA 18:2 (linoleic acid)",0.17533,0.87489,0.95404,0.917,0.90214,0.88723,0.88048,0.88554
"PC P-38:3 or PC O-38:4 Isomer B",0.1753,0.39138,0.439,0.49091,0.69607,0.69452,0.68923,0.68623
"Cer 20:0;3O/24:0;(2OH)",0.16865,0.47638,0.55841,0.60583,0.61175,0.60123,0.60254,0.60093
"5-HETE",0.1668,1.8353,1.7676,1.7004,1.6727,1.6427,1.644,1.6457
"FA 20:4 (arachidonic acid)",0.16624,1.9114,1.815,1.8017,1.7761,1.7466,1.7333,1.7378
"FA 30:0",0.16527,0.13271,0.30815,0.54467,0.56285,0.55309,0.55749,0.55504
"SM d43:1 Isomer B",0.15584,0.57694,0.63538,0.61381,0.62344,0.61928,0.61892,0.61756
"TG 58:8",0.14777,0.75938,0.73702,0.70019,0.69037,0.74747,0.76803,0.77543
"PC 40:1",0.14541,0.61993,0.58863,0.64143,0.76112,0.76573,0.76353,0.76022
"PI 34:2",0.14046,0.64469,0.8013,0.89778,0.89185,0.89302,0.88663,0.88333
"Cer d42:0",0.13096,0.36041,0.52343,0.49744,0.50624,0.49787,0.51428,0.51262
"LPC 20:0",0.12904,0.33572,0.42985,0.45388,0.47703,0.46834,0.46717,0.46612
"4-methyl-2-oxopentanoic acid",0.12854,0.38006,0.39329,0.39607,0.39014,0.39947,0.40338,0.41019
"FA 20:5 (eicosapentaenoic acid)",0.12719,1.4654,1.385,1.3778,1.3556,1.3543,1.3445,1.3573
"PC 38:6 Isomer A",0.12447,0.13335,0.27063,0.44214,0.50698,0.5904,0.58709,0.60662
"Cer d36:2",0.12311,0.72382,0.68035,0.98827,0.97267,0.97462,1.0699,1.0668
"LPC 15:0",0.11582,0.39138,0.37064,0.40188,0.42117,0.41351,0.44509,0.46316
"acylcarnitine 18:0 Isomer A",0.11512,0.092847,0.091418,0.11815,0.11688,0.24626,0.37608,0.37664
"SM 30:2;2O (FA 14:0)",0.11221,0.54742,0.51523,0.48981,0.51579,0.52141,0.53032,0.52981
"PMeOH 16:0_18:1",0.11002,0.90656,1.0122,1.0772,1.2026,1.2044,1.2053,1.2043
"PC 36:4 Isomer B",0.10535,0.12272,0.17435,0.17821,0.2929,0.35379,0.37202,0.37601
"PE 36:2",0.1049,0.36716,0.34838,0.89826,0.88543,0.87037,0.87516,0.87278
"PE 38:6 Isomer B",0.10413,0.29211,0.28475,0.40448,0.55217,0.54468,0.54893,0.54908
"TG 51:2 Isomer A",0.099248,0.24243,0.59966,0.73543,0.72351,0.71173,0.70868,0.71526
