"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"LPC 20:2",0.28662,0.44419,0.465,0.43984,0.42457,0.61908,0.60812,0.61499
"Cer-NDS d43:0",0.28324,0.5417,0.49267,0.54298,0.5243,0.51066,0.51287,0.51063
"LPC 17:0",0.28108,0.30559,0.25271,0.39264,0.53048,0.56366,0.65852,0.65684
"SHexCer d34:1",0.27823,0.31084,0.2936,0.33831,0.32855,0.32747,0.32279,0.33137
"acylcarnitine 20:1",0.27331,0.19335,0.57015,0.54815,0.56398,0.5599,0.74354,0.73887
"PC 32:0",0.26921,0.43188,0.79241,0.75751,0.74482,0.74334,0.73551,0.73779
"FA 19:1",0.26459,0.39372,0.66145,0.61917,0.6019,0.59121,0.72334,0.71982
"TG 64:3",0.2639,0.51269,0.60103,0.69226,0.6944,0.68888,0.69564,0.69678
"acylcarnitine 10:1",0.26059,0.9485,0.96028,0.90606,0.87503,0.8766,0.9827,0.97627
"FA 18:1 (oleic acid)",0.25997,0.2628,0.2275,0.60303,0.58336,0.57766,0.74881,0.74411
"PE O-18:1_22:6",0.25635,0.95749,0.78736,0.73389,0.73652,0.79062,0.78429,0.77921
"LPC O-22:0",0.24967,0.17818,0.48436,0.44254,0.43032,0.71862,0.75804,0.7907
"CE 18:1",0.247,0.47506,0.78256,0.89779,0.87169,0.86391,0.85063,0.85244
"Cer d44:1",0.2415,0.1739,0.29735,0.29883,0.29,0.33521,0.35756,0.358
"PC 36:4 Isomer B",0.23764,0.17822,0.26387,0.30554,0.52585,0.53456,0.57258,0.57931
"PS 36:2",0.23716,0.88289,0.72517,0.69669,0.67353,0.87363,0.85397,0.85047
"PC 34:1",0.23594,0.32798,0.86355,0.87169,0.84163,0.83971,0.82205,0.8167
"LPE 18:2",0.22653,1.003,0.86431,0.79411,0.80061,0.77973,0.76422,0.77021
"Cer 18:1;2O_26:0;(2OH)",0.21901,0.53177,0.75058,0.78898,0.76809,0.78369,0.77965,0.77476
"PC O-30:0",0.2161,0.24201,0.66234,0.62471,0.60354,0.69431,0.73037,0.72555
"TG 10:0_12:0_18:2",0.21402,0.3062,0.65115,0.61151,0.59233,0.62853,0.61582,0.61238
"LPC P-18:0 or LPC O-18:1",0.21086,0.45694,0.45186,0.4667,0.55668,0.67452,0.71246,0.70847
"TG 47:3 Isomer B",0.20974,0.15685,0.71041,0.7712,0.77671,0.79023,0.77648,0.77922
"FA 16:1 (palmitoleic acid)",0.20332,0.62536,0.84938,0.76656,0.76782,0.75611,0.81854,0.81313
"PI 36:4",0.19546,0.34668,0.37466,0.41992,0.50323,0.49225,0.48222,0.48092
"TG 47:0|TG 14:0_16:0_17:0",0.19383,0.41174,1.1205,1.0309,0.99599,0.97048,0.94885,0.94783
"PC O-42:2 or PC 42:2e",0.19368,0.99956,0.82533,1.0533,1.0172,0.99452,0.97505,0.96959
"acylcarnitine 18:2 Isomer A",0.18584,0.18753,0.1845,0.17828,0.17851,0.17607,0.72937,0.72471
"PC 35:3",0.17861,0.33033,0.39662,0.36324,0.44502,0.43768,0.42894,0.42756
"PC 33:2",0.17666,0.12656,0.97359,0.88989,0.93288,0.91377,0.89684,0.89443
"PC 38:5 Isomer A",0.17666,0.27711,0.25028,0.44341,0.68234,0.69892,0.73206,0.72938
"SM 35:1;2O",0.17567,0.48747,0.56921,0.65565,0.63812,0.62745,0.61335,0.60999
"SM 16:1;2O/16:0",0.17277,0.37412,0.38688,0.43999,0.56352,0.57208,0.61516,0.62794
"PC 34:2",0.17049,0.14205,0.63777,0.6118,0.63682,0.64772,0.647,0.65304
"PC 38:6 Isomer A",0.16521,0.57311,0.4677,0.42332,0.52139,0.59347,0.64041,0.64546
"PC 42:2",0.16275,0.20148,0.19918,1.0372,1.0174,1.0312,1.0132,1.0124
"LNAPE 18:2/N-20:0",0.15871,0.11669,0.14992,0.1933,0.21114,0.25603,0.25432,0.31525
"TG 44:2",0.15847,0.83031,1.2713,1.2391,1.2165,1.1848,1.1611,1.1561
"GlcCer d42:2",0.15792,0.19729,0.19106,0.49548,0.53138,0.6491,0.64029,0.64225
"PE O-16:1_22:6",0.15762,1.2626,1.031,1.0183,1.0077,1.0397,1.0917,1.0845
"PC 34:4",0.15658,0.11839,0.49189,0.46642,0.47039,0.59939,0.59131,0.59345
"TG 47:2",0.15259,0.11943,0.70951,0.66428,0.64309,0.64745,0.63292,0.62911
"Cer 22:0;2O/26:0",0.1522,0.19986,0.95762,0.9427,0.91076,0.88832,0.86964,0.86464
"acylcarnitine 18:1",0.15106,0.35107,0.60018,0.54465,0.56494,0.55336,0.76249,0.75755
"SM d41:2 Isomer A",0.14559,0.36209,0.43817,0.47867,0.46337,0.48302,0.48206,0.5092
"FAHFA 18:0/20:2",0.14219,0.78636,0.72462,0.654,0.63285,0.61776,0.60469,0.6058
"TG 51:0",0.14129,1.012,1.2114,1.103,1.077,1.0508,1.0272,1.0248
"16,16-dimethylprostaglandin A1",0.13946,1.1312,0.93965,1.1654,1.1803,1.1495,1.131,1.1412
"FA 22:0 (behenic acid)",0.13864,0.3948,0.5155,0.47617,0.46853,0.45817,0.56162,0.55794
"PS 38:3",0.13639,1.4739,1.2395,1.1346,1.2538,1.2307,1.2102,1.2025
"PS 18:0_22:6",0.13635,1.1457,0.94838,1.1637,1.1324,1.1522,1.1339,1.1272
"SM d44:2",0.13609,0.71892,0.72378,0.69349,0.68898,0.69219,0.68095,0.68639
"PC 38:4 Isomer C",0.13062,0.12425,0.12372,0.18375,0.52781,0.56032,0.62013,0.62454
"FA 28:0 (montanic acid)",0.12898,0.34823,0.58088,0.55087,0.56628,0.55676,0.59273,0.59017
"acylcarnitine 08:1",0.12878,0.19029,0.66146,0.5997,0.59487,0.58608,0.77308,0.76849
"PC 40:5 Isomer A",0.12677,0.10142,0.087125,0.25001,0.40704,0.45456,0.49481,0.49156
"SM d40:4",0.11973,0.13808,0.41351,0.42212,0.40774,0.50466,0.58748,0.59795
"Cer d42:0",0.11751,0.44257,0.58022,0.88721,0.88317,0.87015,0.876,0.8721
"SM d39:1",0.11615,0.52776,0.5819,0.59637,0.5761,0.61281,0.64292,0.63891
"cis-13-docosenoic acid",0.11559,0.16195,0.38236,0.38433,0.37116,0.44274,0.71582,0.71852
"PC 16:0_14:0",0.11507,0.24054,0.63845,0.69021,0.89729,0.87465,0.90004,0.89866
"Cholesterol",0.11459,0.51918,0.43973,0.48944,0.54655,0.53595,0.53731,0.53595
"PE 38:5",0.11039,1.0696,0.96501,0.87444,0.98592,1.0516,1.0282,1.0214
"PC 36:2",0.10957,0.47044,0.91361,0.8291,0.82483,0.80768,0.80731,0.80349
"PA 18:1_18:1",0.10859,0.30033,0.46372,0.59054,0.66114,0.65033,0.72977,0.72502
"LNAPE 18:2_N-19:0",0.10194,0.48543,0.75837,0.68467,0.66144,0.644,0.63108,0.627
"SM 46:5;3O",0.10181,0.69302,0.56618,0.69323,0.7427,0.73081,0.74404,0.74177
"PC 37:4",0.098957,0.1994,0.35755,0.33973,0.67317,0.66064,0.67843,0.67425
"TG 45:0",0.098529,0.19239,0.81574,0.78347,0.7577,0.74228,0.73621,0.73173
"PC 34:3 Isomer B",0.098383,0.092744,0.96549,0.88107,0.85089,0.84242,0.8546,0.84896
"TG 14:0_16:0_17:1",0.097596,0.2822,0.84285,0.76073,0.81828,0.81772,0.80947,0.80446
"PC 35:4",0.085682,0.17099,0.21087,0.21487,0.59751,0.58235,0.56971,0.59669
"LPS 18:0",0.082326,1.0493,0.90919,0.83866,0.91481,0.92105,0.95562,0.95385
"PC 38:2",0.081074,0.059412,0.51858,0.47438,0.48806,0.47518,0.4653,0.4735
"PC O-18:0_16:0",0.070247,0.16564,0.85325,0.83979,0.81174,0.80823,0.79358,0.79236
"Cer d46:2",0.067497,0.93365,0.77242,0.71451,0.69384,0.69017,0.72156,0.72823
"cholesterol 3-sulfate",0.066201,0.25929,0.26784,0.48018,0.46479,0.45359,0.45012,0.45335
"PC 33:1",0.064936,0.39651,1.0259,0.9745,0.94349,0.91957,0.90116,0.90344
"PC 31:1",0.060386,0.11063,0.9885,0.89442,0.88213,0.86734,0.89588,0.89354
"CE 18:2",0.053901,0.95643,0.79419,1.2276,1.1882,1.157,1.1493,1.1429
"Cer 18:0;2O/24:0",0.052546,0.069077,0.23125,0.67223,0.7091,0.71282,0.71095,0.70865
"PC 40:1",0.04287,0.28199,0.82087,0.79589,0.77219,0.76841,0.75123,0.75591
"PC P-34:1 or PC O-34:2 Isomer A",0.042059,0.47038,0.38985,0.40528,0.62576,0.6759,0.66363,0.66029
"FA 32:0",0.038785,0.60312,0.53105,0.49547,0.64631,0.70645,0.69107,0.68651
"PC 37:3",0.036472,0.18858,0.42993,0.40284,0.46049,0.47116,0.46414,0.46799
"PC 35:2 Isomer B",0.035785,0.13109,0.71392,0.65219,0.75136,0.74971,0.74426,0.74084
"Cer 18:1;2O/26:0",0.034676,1.1052,1.0357,1.1364,1.0984,1.0799,1.0592,1.0527
"PMeOH 16:0_18:1",0.032363,1.1036,1.5539,1.6271,1.6228,1.7307,1.7099,1.7001
"PC 32:1",0.031091,0.38081,1.1616,1.0912,1.0763,1.0481,1.0471,1.042
"LPI 18:0",0.020012,0.26248,0.89783,1.0633,1.1712,1.1421,1.1956,1.1968
"Cer-NDS d40:0",0.018102,0.10687,0.27033,0.72949,0.74444,0.75451,0.74456,0.73993
"PC 36:4 Isomer C",0.016312,0.17016,0.39586,0.46936,0.71408,0.71018,0.71673,0.7179
"LPC 18:0",0.015552,0.26215,0.25389,0.33834,0.59472,0.58648,0.67295,0.66884
"PC 18:0_18:1",0.012434,0.25323,0.9222,0.83939,0.81471,0.81781,0.81156,0.80692
"Cer 18:0;3O/16:0;(2OH)",0.0095875,0.99313,0.83284,0.76607,0.73956,0.77158,0.77155,0.76772
"LPE 22:6",0.0080443,0.55629,1.5832,1.977,1.9086,1.8665,1.8295,1.818
"FA 23:0",0.0056622,0.42252,0.57648,0.5717,0.5521,0.5527,0.56618,0.56279
"TG 58:4",0.0027855,1.5626,1.7901,1.6482,1.6229,1.5827,1.5486,1.5979
"PC P-42:4 or PC O-42:5",0.0014037,0.14591,0.14234,0.81124,0.81624,0.79481,0.79812,0.79315
