"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 34:0",0.89287,0.79382,1.2276,1.1122,1.0723,1.0648,1.0574,1.0528
"Cer d42:1",0.88259,0.69927,0.93538,1.1163,1.0762,1.0716,1.0496,1.0447
"acylcarnitine 18:0 Isomer A",0.87931,0.98849,0.81554,0.78494,0.76346,0.74448,0.82617,0.82525
"PC 34:0",0.87634,1.097,1.1393,1.047,1.0091,1.0049,0.9846,0.97936
"PC O-34:0",0.87293,0.95433,1.0563,0.95717,0.92444,0.90857,0.90022,0.89786
"Cer d41:2",0.86888,0.76939,0.68413,0.61986,0.6136,0.5974,0.63169,0.63844
"PC 40:4",0.86826,0.90629,0.73811,0.6688,0.85588,0.83363,0.82107,0.81635
"4-HDoHE",0.86772,0.9729,1.3359,1.2328,1.266,1.2381,1.2107,1.2112
"SM d42:2 Isomer B",0.85948,0.63474,0.69684,0.69828,0.68877,0.6731,0.69773,0.69615
"SM d34:1",0.85417,0.63767,0.53764,0.70489,0.68035,0.68555,0.68359,0.67983
"SM d35:1",0.85345,0.69027,0.7097,0.7367,0.73097,0.76196,0.74413,0.74465
"PE 36:1",0.8515,0.72688,0.98905,0.8995,0.98018,1.0139,1.0364,1.0307
"Cer 18:0;2O/24:1",0.84975,0.64943,0.96906,1.0043,0.97225,0.96314,0.95418,0.94951
"TG 40:0",0.84496,0.71177,1.0498,0.96895,0.93387,0.92167,0.91136,0.95392
"TG 60:3",0.84265,0.76721,0.79976,0.83778,0.80744,0.78666,0.8092,0.85902
"13-HODE",0.83249,0.80681,0.8564,1.1192,1.1105,1.125,1.1542,1.1495
"SM d38:3",0.82768,0.66699,0.55506,0.61993,0.68311,0.69103,0.67979,0.68687
"SM d38:0 Isomer B",0.82718,0.77524,0.63526,0.58394,0.56315,0.59183,0.6005,0.59711
"LPC 16:1",0.82061,0.7805,0.92328,0.97151,0.96459,0.98157,0.96314,0.95808
"SM d33:1",0.81063,0.62039,0.71848,0.67207,0.65032,0.69289,0.67865,0.67482
"Cer-NDS d39:0",0.80661,1.0889,1.1766,1.17,1.166,1.1529,1.1708,1.1903
"PEtOH 16:0_20:4",0.80199,1.4614,1.4368,1.4711,1.4254,1.4009,1.4385,1.4365
"SM 42:7;3O",0.79971,1.4955,1.7237,1.5744,1.5187,1.4769,1.4625,1.455
"FA 17:0 (margaric acid)",0.79961,0.60033,0.57747,0.52474,0.50581,0.50512,0.52109,0.52796
"TG 45:1",0.79908,1.102,1.0601,1.0495,1.0115,0.99987,0.99709,0.99481
"PC 16:0_glutaric acid",0.79156,0.79357,0.66922,1.3484,1.3449,1.3073,1.2769,1.2698
