"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PI 38:4",0.10702,0.96822,1.0588,1.1018,1.0785,1.0732,1.0617,1.0601
"SM 34:2;3O",0.10603,0.1522,0.58623,0.90868,1.1437,1.1252,1.1191,1.115
"TG 48:2",0.10022,0.94993,1.0716,1.3901,1.3113,1.2848,1.281,1.2752
"SM 16:1;2O/16:0",0.09278,0.066448,0.11978,0.58499,0.66746,0.65955,0.65185,0.64875
"TG 51:3",0.088203,0.32186,0.85029,1.0866,1.0188,1.0031,0.99186,0.98807
"PC 31:1",0.08545,0.073066,0.097479,0.49958,0.48995,0.50463,0.59175,0.58968
"LPC 18:2",0.084744,0.77424,0.70226,1.1845,1.1212,1.0996,1.1282,1.1279
"FA 20:5 (eicosapentaenoic acid)",0.084551,0.49109,1.1728,1.2082,1.4625,1.4518,1.4342,1.4272
"PC O-18:0_16:0",0.081244,0.2281,0.30657,0.30475,0.39834,0.43024,0.44238,0.44134
"SM 32:0;3O",0.075231,0.88188,0.76467,0.68251,0.72387,0.71308,0.72939,0.72718
"TG 40:1",0.068741,0.067178,0.059373,0.1549,0.42368,0.42236,0.41707,0.44482
"PC P-36:1 or PC O-36:2 A",0.06588,1.219,1.0448,0.93826,0.88647,0.87683,0.88489,0.88115
"TG 54:3",0.064291,0.1433,0.86874,0.83666,1.1716,1.2225,1.2205,1.2157
"LPC 20:1",0.063718,0.68227,0.57779,0.87617,0.82941,0.92345,0.91206,0.93467
"PE P-38:5 or PE O-38:6",0.059617,0.4096,0.87959,0.87926,0.8288,0.8703,0.87097,0.87619
"PC 34:4",0.059308,0.64864,0.5693,0.52313,0.70272,0.70061,0.70729,0.70419
"TG 36:0",0.056425,1.6959,1.4871,1.3232,1.3694,1.3435,1.3268,1.3218
"SM 22:1;2O/12:0",0.056158,0.16358,0.1844,0.55642,0.61017,0.59948,0.59188,0.59012
"PC 32:2",0.054134,0.65748,0.56928,0.89711,1.0391,1.0324,1.039,1.0342
"SM 42:0;3O",0.052801,0.19949,0.1954,0.18821,0.54769,0.58892,0.58145,0.57911
"TG 42:1",0.050556,0.99568,0.88162,1.0802,1.1705,1.1525,1.1397,1.1348
"Cer d34:2 Isomer A",0.049823,0.14555,0.64507,0.68143,0.63809,0.63505,0.63506,0.63799
"LPC 20:2",0.043149,1.0204,0.99417,1.4428,1.352,1.3286,1.3234,1.3174
"TG 48:3",0.041398,0.97239,1.1086,1.1703,1.0985,1.0908,1.0986,1.0935
"SHexCer d34:1",0.033686,0.20489,0.27021,0.83736,0.89126,0.93531,0.9412,0.93705
"PC P-36:4 or PC O-36:5",0.033426,0.95275,0.80496,1.1515,1.0853,1.1005,1.0871,1.0856
"TG 38:0",0.030524,1.457,1.3401,1.1926,1.2831,1.2595,1.2449,1.2394
"PC 30:0",0.026951,0.46302,0.39217,0.39863,0.38867,0.38092,0.37632,0.37757
"PC 36:3 Isomer B",0.026084,1.0252,0.86625,0.79642,0.79782,0.84647,0.8369,0.83584
"acylcarnitine 14:1",0.025754,0.066903,0.47183,0.74707,0.69969,0.73322,0.74963,0.75178
"palmitoyl ethanolamide",0.024181,0.9197,1.1265,1.0119,0.95133,0.9327,0.93081,0.92738
"TG 46:0",0.022338,1.1477,1.0722,1.4314,1.4759,1.4543,1.4446,1.4374
"PE 38:6 Isomer B",0.020873,0.84017,0.70984,0.64771,0.61146,0.65427,0.66873,0.66883
"TG 44:1",0.01934,0.42747,0.57391,0.72918,0.93596,0.94975,0.96349,0.95915
"Cer 58:11;2O",0.019009,0.25396,0.41182,1.303,1.2275,1.2034,1.1906,1.1866
"PE 38:6",0.017793,0.47049,0.72241,0.64518,0.65953,0.67806,0.80906,0.80559
"PC P-34:0 or PC O-34:1",0.013059,0.56976,0.51797,0.66516,0.70757,0.69837,0.69779,0.69938
"SM 35:1;2O",0.00304,0.27629,0.23347,0.30442,0.29416,0.36215,0.36388,0.36534
