"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d38:0 Isomer B",0.72821,0.50758,0.52102,0.48717,0.55304,0.56073,0.57928,0.58155
"MGDG 16:0_20:5",0.72466,0.50679,0.49186,0.43601,0.41128,0.41215,0.41065,0.40896
"TG 56:7 Isomer A",0.72119,0.50317,1.0008,0.88608,0.84488,0.84022,0.84444,0.83887
"TG 54:4",0.7211,0.52001,0.876,0.83829,0.92456,0.93655,0.92419,0.91819
"SM d43:1",0.71695,0.50002,0.73091,0.75043,0.70895,0.73324,0.72712,0.72802
"PC 34:2",0.71662,0.52056,0.45119,0.46484,0.45221,0.44213,0.44611,0.45492
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",0.70586,0.59049,0.49132,0.53701,0.50662,0.50993,0.50372,0.51098
"PC 35:1",0.68311,0.82079,0.95683,0.86941,0.89941,0.87685,0.86528,0.86493
"TG 48:0",0.68023,1.1444,1.4209,1.5803,1.5061,1.4678,1.4551,1.4472
"SM 38:4;3O",0.67459,1.0238,0.8639,1.122,1.0671,1.0451,1.0433,1.0381
"acylcarnitine 20:1",0.66921,0.49263,0.41851,0.70345,0.74116,0.8793,0.8713,0.87609
"PEtOH 16:0_20:4",0.66347,1.3498,1.2424,1.231,1.3102,1.4038,1.4035,1.4298
"PC 31:0",0.66205,0.96337,0.80879,0.70924,0.6684,0.65275,0.64437,0.65146
"Cer 18:2;2O/24:1",0.65968,0.55295,0.51738,0.60096,0.61626,0.61849,0.62367,0.64911
"SM d39:1",0.65386,1.3507,1.1305,1.0069,0.95297,0.92949,0.91718,0.91283
"PC O-32:1",0.65338,0.98909,0.82107,0.73976,0.77227,0.75843,0.74968,0.74545
"SM 18:0;2O/21:0",0.65248,1.0081,0.88815,0.7783,0.75205,0.73444,0.72505,0.72391
"TG 52:1",0.64771,0.6864,1.2283,1.5207,1.463,1.4259,1.4069,1.4002
"TG 14:0_16:0_17:1",0.64349,1.1207,0.9307,0.84857,0.80653,0.81025,0.8053,0.79998
"PC P-36:1 or PC O-36:2 B",0.6369,0.47074,0.52239,0.7465,0.87973,0.8574,0.85095,0.85713
"TG 52:4;O2|TG 16:0_18:1_18:3;O2",0.63592,0.52684,0.54848,1.3227,1.3255,1.299,1.2822,1.2999
"PC 38:4 Isomer B",0.63582,0.64429,0.59707,0.77823,0.74566,0.80046,0.79688,0.79935
"LPC O-22:0",0.63207,0.49975,0.414,0.75374,0.86111,0.88911,0.87742,0.88122
"FA 18:1 (oleic acid)",0.6181,0.66301,0.68906,0.92572,0.87534,0.86364,0.8847,0.87997
"TG 54:7 Isomer A",0.61809,1.0527,0.93363,0.93192,0.91847,0.92634,0.92391,0.92257
"8,15-DiHETE",0.61425,0.65928,0.8782,0.83126,0.78723,0.76721,0.77417,0.78261
"PC 35:2",0.61384,0.5407,0.62352,0.85987,0.87449,0.85751,0.84709,0.85017
"LPC 17:0",0.61328,0.42627,0.78371,1.341,1.2657,1.2547,1.2738,1.2713
"TG 49:0",0.61233,0.99449,0.93764,1.001,0.96992,0.94855,0.94925,0.94299
"PC P-34:2 or PC O-34:3",0.61111,1.2384,1.028,1.0246,0.9804,0.95544,0.95155,0.9455
"trihydroxyoctadec-15-enoic acid",0.6064,1.1418,0.96109,0.84385,0.86179,0.8695,0.87161,0.88751
"SHexCer 34:1;3O",0.60579,0.52738,0.49784,0.71869,0.68248,0.66598,0.68115,0.69537
"TG 51:0",0.60409,0.9709,0.83204,0.90179,0.85841,0.85007,0.83936,0.83401
"LPC 16:1",0.60043,0.83561,0.7106,1.0584,0.99701,0.99181,1.0851,1.0781
"PEtOH 16:0_16:1",0.59089,0.69402,1.2284,1.1013,1.1474,1.1182,1.1158,1.1301
"PS 38:3",0.58936,0.44621,0.86582,0.91072,0.98273,0.95883,0.94821,0.95153
"FA 14:0 (myristic acid)",0.58684,0.89062,0.79005,0.90308,1.0262,1.037,1.0296,1.0264
"TG 52:2",0.58424,0.41304,1.0036,1.4465,1.3734,1.3469,1.3298,1.3227
"TG 46:2",0.58383,1.2547,1.0494,0.99751,0.93953,0.94582,0.95282,0.9597
"TG 49:3",0.58244,1.2256,1.0587,0.93626,0.88184,0.86964,0.86044,0.85485
"LPE 18:2",0.58064,0.90014,0.86171,0.88786,0.90366,0.92208,0.91019,0.9042
"PC 16:0_18:2",0.57963,0.42298,0.35403,0.42617,0.40601,0.42813,0.42607,0.42354
"DG 18:1_18:2",0.57318,0.90669,0.76071,0.84812,0.83692,0.8312,0.8552,0.86276
"LPI 18:0",0.56895,0.49296,0.52829,0.6164,0.75341,0.77097,0.77997,0.7947
"Cer d40:2",0.5609,0.43287,0.40018,0.35281,0.54082,0.65788,0.65038,0.65635
"PC 38:2",0.55406,0.92596,0.81345,0.76685,0.77851,0.79398,0.78399,0.77888
"PI 34:1 Isomer A",0.54674,0.62913,0.76674,0.68992,0.70578,0.69475,0.69276,0.69219
"LPC 20:3",0.54579,0.43314,0.5023,0.82712,1.0658,1.1048,1.0916,1.0973
"TG 47:2",0.543,1.1554,0.9758,0.86368,0.81966,0.80579,0.8041,0.80188
"PC 32:1",0.53934,0.99301,0.8666,1.0657,1.0205,0.99461,1.0206,1.0143
"PC 16:0_glutaric acid",0.53871,0.50244,1.6214,1.5502,1.4603,1.4246,1.4224,1.4144
"PC 40:1",0.53867,0.95709,0.81834,0.72314,0.76874,0.79195,0.80998,0.81539
"cholesterol 3-sulfate",0.53617,0.37518,0.31118,0.28733,0.29337,0.28594,0.28308,0.2977
"MG 20:4",0.53056,0.8982,0.92557,1.0461,0.98532,0.97462,1.0033,0.99749
"PC O-30:1",0.53047,0.86923,0.92777,0.81864,0.78112,0.76477,0.75684,0.75237
"PE P-36:2 or PE O-36:3",0.52507,0.69723,1.0031,0.91694,0.87534,0.86049,0.8756,0.8873
"PC P-34:1 or PC O-34:2 Isomer A",0.52467,1.2395,1.2548,1.2983,1.2999,1.3342,1.3591,1.3501
"PC 36:4 Isomer A",0.51861,1.7434,1.5027,1.3198,1.2824,1.2585,1.2417,1.2384
"LPE O-16:1",0.51572,0.99273,1.0029,1.0377,0.98561,0.96751,0.9656,0.96673
"PE O-18:1_22:6",0.51455,1.5516,1.3204,1.2162,1.2416,1.3014,1.2848,1.2792
"SM 44:1;2O",0.50518,0.52394,0.46053,0.41599,0.43061,0.63216,0.6901,0.69322
"TG 50:2",0.50463,0.47926,1.037,1.5506,1.4611,1.4289,1.4111,1.4031
"PC 34:1",0.50327,0.78548,0.83733,0.7922,0.74634,0.73383,0.72486,0.72632
"SM 42:5;3O",0.50276,1.0161,0.843,0.79446,0.76302,0.75165,0.76219,0.75761
"LNAPE 18:2/N-20:0",0.49653,0.61695,0.51193,0.63611,0.62563,0.61221,0.60481,0.61159
"Cer d46:2",0.49573,0.82428,0.93447,0.84888,0.81735,0.80102,0.79138,0.78766
"PC 31:1",0.49476,0.54142,0.45447,0.53671,0.50551,0.51269,0.60872,0.6047
"TG 22:0",0.49391,1.2592,1.0567,0.9347,1.007,0.98191,0.96956,0.96835
"LPC 18:1",0.49224,1.1683,1.0415,1.2058,1.1591,1.171,1.1825,1.175
"PE O-16:1_18:2",0.48788,0.34117,1.1245,1.1167,1.0624,1.0361,1.0687,1.0625
"PC 40:7 Isomer B",0.48451,1.0898,0.98441,0.86708,0.93773,1.0668,1.0594,1.0576
"LPC 15:0",0.48269,0.51173,0.45481,0.71821,0.68542,0.69265,0.7954,0.81024
"PC 38:4 Isomer C",0.47986,0.95562,0.88667,0.93168,0.9081,0.99721,0.98493,0.98238
"PC 16:0/9:0 CHO",0.47449,0.42302,1.3934,1.2386,1.2651,1.2343,1.2342,1.2279
"PC 38:5 Isomer A",0.46402,0.91669,0.76294,1.0275,1.002,1.0704,1.0562,1.0498
"SM 42:2;3O",0.46122,0.46335,0.45886,0.77471,1.1183,1.0974,1.0835,1.0767
"PC 34:3 Isomer B",0.45997,1.1057,0.94344,1.005,1.0281,1.01,1.0037,0.99765
"TG 10:0_12:0_18:2",0.45476,1.1554,0.96976,1.0392,0.98658,0.97468,0.96656,0.96021
"LPE 18:0",0.45192,0.57258,0.88213,0.81347,0.79507,0.88261,0.88302,0.8933
"PE P-40:4 or PE O-40:5 Isomer A",0.45025,0.35363,0.917,0.83356,0.83019,0.81991,0.86816,0.86925
"PI 36:1 Isomer A",0.44966,0.80765,0.69711,0.72427,0.68455,0.68263,0.69172,0.69171
"TG 34:0",0.44193,1.4121,1.189,1.043,1.2314,1.2007,1.186,1.1783
"PC 16:0_5-oxovaleryl",0.43929,0.31512,1.7783,1.6723,1.5763,1.5371,1.5294,1.5195
"PC O-31:7",0.43131,0.65935,0.81637,0.98902,1.3907,1.3559,1.3385,1.3316
"LNAPE 18:2_N-19:0",0.42596,0.80555,0.67223,0.84259,0.85573,0.87842,0.88499,0.88604
"TG 49:2",0.4221,1.0081,1.0788,1.0045,0.94699,0.93826,0.92783,0.92381
"PC 18:0_18:1",0.41939,0.99269,0.84828,0.76608,0.72692,0.71477,0.70611,0.70153
