"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d42:1",0.26249,0.23392,0.22053,0.26607,0.32213,0.33079,0.34438,0.34492
"PMeOH 16:0_18:1",0.26018,0.40344,0.74304,0.76424,1.1199,1.1325,1.1246,1.1204
"SM 24:1",0.25755,0.69687,0.65427,0.63433,0.62071,0.62881,0.64576,0.64621
"DG 34:1",0.25572,0.23279,0.51528,0.49636,0.66627,0.65941,0.65865,0.65998
"PE 36:3",0.2527,0.31237,0.32935,0.75084,0.75005,0.74557,0.76815,0.7666
"TG 51:4",0.25244,0.24743,0.25434,0.446,0.48872,0.51423,0.52849,0.57571
"PC 36:4 Isomer B",0.25203,0.38284,0.36118,0.36347,0.41762,0.44958,0.4692,0.47098
"PS 18:0_22:6",0.25034,0.2186,0.29141,0.5596,0.55359,0.63897,0.64705,0.65307
"PC 36:1",0.24859,0.4808,0.49714,0.47787,0.48138,0.4762,0.48195,0.48296
"PC O-40:2 or PC 40:2e",0.24572,0.23874,0.36885,0.36701,0.38781,0.38196,0.37961,0.45329
"cholesterol 3-sulfate",0.2438,0.4056,0.39088,0.37952,0.39888,0.39398,0.39067,0.3955
"TG 53:2",0.24371,0.2229,0.4267,0.67732,0.6634,0.65326,0.64799,0.65018
"PI 36:1 Isomer A",0.24228,0.33242,0.41053,0.41454,0.47084,0.46348,0.48894,0.50306
"Cer d40:2",0.24191,0.38102,0.3742,0.373,0.38947,0.44876,0.5138,0.51202
"Phosphatidylethanolamine alkenyl 16:0-20:4",0.24159,0.23762,0.22469,0.78888,0.7762,0.76392,0.81387,0.82186
"TG 50:2",0.24049,0.28638,0.41101,0.77338,0.75808,0.74713,0.74072,0.7468
"SM 42:1;3O",0.23851,0.60255,0.62202,0.62461,0.61178,0.65027,0.6445,0.65212
"Cer d39:1",0.23828,0.37912,0.43314,0.42827,0.42175,0.44157,0.44124,0.43982
"PE 36:1",0.23676,0.79334,0.79533,0.9391,0.92483,0.94699,0.94882,0.9454
"PE 16:1_18:1",0.23586,0.41026,0.39027,0.61198,0.59896,0.61798,0.66018,0.65723
"SM d34:2",0.23284,0.76171,0.71758,0.69443,0.69839,0.70027,0.71977,0.71662
"PC P-36:1 or PC O-36:2 B",0.23012,0.49765,0.55864,0.54455,0.58447,0.62499,0.6217,0.63279
"Cer d44:1",0.22452,0.25566,0.32402,0.34352,0.3432,0.36487,0.37315,0.37219
"PC 33:0",0.22245,0.19636,0.60545,0.63881,0.6582,0.66337,0.70635,0.70324
