"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Phosphatidylethanolamine alkenyl 18:0-18:2",0.76175,0.61224,1.0658,0.96675,0.92999,0.94911,0.92785,0.93111
"TG 44:1",0.75826,0.87808,0.84012,1.0936,1.1274,1.1122,1.1547,1.1426
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.75583,0.48253,0.43464,0.47167,0.55041,0.5485,0.62545,0.61817
"TG 36:0",0.75058,1.0592,1.0252,1.0531,1.0503,1.0552,1.0415,1.0368
"SM d38:0 Isomer A",0.75041,0.736,0.72578,0.65931,0.63203,0.63667,0.6257,0.64946
"SPB 26:0;2O",0.74984,0.92925,0.95602,0.89132,0.87903,0.86105,0.84802,0.83717
"Cer 18:2;2O/22:0",0.74379,0.48589,0.4632,0.5402,0.53294,0.64114,0.64295,0.64651
"PE P-36:2 or PE O-36:3",0.73118,0.84881,1.2577,1.1416,1.088,1.0678,1.0676,1.0556
"TG 52:0",0.7293,0.44855,0.40137,0.70941,0.69183,0.72837,0.7161,0.77412
"PS 38:3",0.72429,0.45368,0.40833,0.70279,0.77987,0.76433,0.75237,0.74225
"SM 20:0;2O/22:3",0.72095,0.63334,0.77425,0.73485,0.83268,0.8979,0.9866,1.0368
"PC 36:3 Isomer B",0.71634,0.68646,0.68046,0.6437,0.66467,0.6675,0.68125,0.68883
"PE O-18:1_16:0",0.71515,0.43835,0.54439,0.49667,0.49681,0.52301,0.67302,0.69752
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",0.71344,0.58292,0.52228,0.534,0.52927,0.53844,0.5494,0.64323
"LPC 20:3",0.71165,0.43859,0.72059,1.12,1.0712,1.0612,1.0667,1.0855
"PC O-34:0",0.7083,1.1894,1.0637,0.97885,0.95134,0.93261,0.92194,0.9127
"Cer d43:2",0.70466,0.87506,0.84588,0.77898,0.74235,0.74033,0.72714,0.74818
"PC O-32:0",0.70096,1.2562,1.1343,1.0297,0.98561,0.97011,0.96978,0.96567
"PE 36:3",0.69817,0.761,1.101,1.0049,0.95792,0.94044,0.93897,0.94038
"TG 48:0",0.69642,0.57527,0.51485,0.83454,0.90517,0.90787,0.88859,0.89776
"SM 42:5;3O",0.69573,0.44266,0.40118,0.36438,0.39535,0.40116,0.43088,0.45703
"SM d41:2 Isomer A",0.69184,0.51604,0.49276,0.4717,0.4944,0.48474,0.47553,0.4916
"LPC 20:1",0.69136,0.86795,1.0643,1.1441,1.1077,1.1024,1.126,1.1115
"PE O-38:6 Isomer A",0.69129,0.81554,0.84001,0.81832,0.78338,0.78743,0.7687,0.77056
"SM d42:1",0.68667,0.91195,0.81673,0.75574,0.72021,0.70855,0.70726,0.69773
"PC 33:3",0.68551,0.43575,0.43585,0.70375,0.67351,0.65982,0.64309,0.67729
"PE O-40:5 Isomer B",0.68155,0.63512,1.4401,1.3343,1.2724,1.2518,1.2201,1.211
"PMeOH 16:0_18:1",0.68136,0.43343,0.40296,0.76719,0.79677,1.0717,1.0762,1.124
"PC 29:0",0.67842,0.73695,0.78721,0.7202,0.71488,0.72904,0.73167,0.72749
"PS 36:2",0.67556,0.71596,0.86811,0.83409,0.79558,0.78045,0.77064,0.76282
"TG 54:2",0.67455,0.89727,0.84804,1.1286,1.1755,1.1737,1.2008,1.1865
"Cer-NDS d39:0",0.67048,0.74574,0.67248,0.61915,0.61417,0.65944,0.68737,0.74955
"TG 52:5",0.66251,0.46134,0.56761,0.55431,0.80806,0.86042,0.92104,0.90936
"PC 33:2",0.65563,0.83375,0.90195,0.83486,0.8228,0.80914,0.79149,0.78207
"PC 42:2",0.65545,0.70103,0.65883,0.60903,0.59205,0.5799,0.59824,0.59279
"PC O-42:2 or PC 42:2e",0.64537,0.41636,0.56674,0.55232,0.57693,0.59251,0.59033,0.60541
"GlcCer d40:1",0.64111,0.45897,0.54778,0.52495,0.50286,0.49494,0.491,0.55072
"FA 20:3 (homo-gamma-linolenic acid)",0.63885,0.96729,0.95383,1.6082,1.5997,1.5789,1.5376,1.5177
"Cer-NDS d41:0",0.6386,0.81595,0.74568,0.69505,0.68429,0.67587,0.66548,0.69951
"TG 58:9",0.632,0.56772,0.50774,0.62222,0.65948,0.81509,0.79606,0.78962
"Cer d46:2",0.63161,0.96573,0.87037,0.92927,0.9696,0.95642,0.93347,0.93389
"TG 52:4",0.6297,0.52875,0.77502,0.7946,1.0975,1.0982,1.1636,1.149
"Cer 18:0;3O/24:0;(2OH)",0.61525,1.2816,1.1493,1.0563,1.0518,1.0403,1.0302,1.0163
"PC 34:4",0.61454,0.41624,0.45555,0.41406,0.42207,0.42436,0.5587,0.55118
"TG 56:6",0.6112,0.37245,0.43831,0.63156,0.88076,0.87814,0.87675,0.86858
"PC P-42:4 or PC O-42:5",0.61008,0.39304,0.41355,0.50611,0.51861,0.60042,0.59854,0.59717
"TG 10:0_12:0_18:2",0.60749,1.1608,1.039,0.98866,0.94341,0.92636,0.90526,0.91172
"Cer d40:1",0.60734,0.98961,0.88803,0.82044,0.7833,0.82156,0.80921,0.799
"PC 18:0_18:1",0.60287,0.99654,0.89263,0.87782,0.85732,0.8446,0.82247,0.81411
"PC 37:4",0.59937,0.38456,0.56121,0.54488,0.54694,0.53669,0.70183,0.70108
"Cer d44:2",0.59911,1.0656,1.1128,1.0094,0.96316,0.97559,1.0007,0.9873
"trihydroxyoctadec-15-enoic acid",0.59809,0.47159,0.42654,0.4236,0.49788,0.48775,0.65528,0.65551
"PC 35:1",0.594,1.0244,0.94012,0.91518,0.87947,0.86209,0.83937,0.83205
"LPC 20:4",0.58942,0.62745,0.56143,1.0258,0.97814,1.0111,1.1033,1.1147
"CE_13-HODE",0.58788,0.66172,0.59458,0.58181,0.55989,0.64517,0.62815,0.61986
"TG 46:1",0.58014,0.9592,1.0131,1.0667,1.0258,1.0057,0.9878,0.97758
"TG 43:0",0.57989,1.3625,1.2232,1.1294,1.1097,1.1064,1.1051,1.0943
