"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 55:4",0.4232,0.48242,0.43215,0.41985,0.45094,0.45974,0.45848,0.4569
"TG 58:8",0.42103,1.0017,0.8952,1.0279,0.99631,1.0394,1.0303,1.0257
"PC O-37:0",0.41866,0.34515,0.32925,0.56062,0.54622,0.56504,0.58342,0.58092
"PC P-36:1 or PC O-36:2 A",0.41835,0.34227,0.6163,0.87289,0.87415,0.87289,0.89129,0.88723
"Cer d44:1",0.41823,0.33583,0.32555,0.35991,0.35051,0.35368,0.40416,0.40289
"TG 56:6",0.41463,0.46644,0.56615,0.61325,0.82118,0.81844,0.80881,0.8081
"SM d36:2",0.41159,0.39114,0.4092,0.4349,0.58761,0.58672,0.64635,0.64333
"Cholesterol",0.40679,1.049,0.95755,1.0715,1.0397,1.0291,1.0173,1.0188
"SM 42:0;3O",0.40522,0.32294,0.32764,0.31427,0.62245,0.61933,0.61432,0.61417
"SM 26:0;2O/18:1",0.40338,0.33793,0.30445,0.40637,0.39575,0.40553,0.45789,0.45664
"SM d31:1",0.39687,0.49392,0.43967,0.41296,0.40779,0.40282,0.46193,0.46085
"SM d42:1",0.38832,0.54458,0.63279,0.60607,0.61458,0.61344,0.62647,0.62789
"LPE O-16:1",0.38716,0.42836,0.42436,0.39962,0.38773,0.48789,0.50274,0.50236
"acylcarnitine 18:1",0.37715,0.5656,0.58442,0.6257,0.62784,0.62513,0.64152,0.63864
"PEtOH 16:0_16:0",0.37094,0.84967,0.92566,0.90643,0.88209,0.88182,0.92388,0.92838
"SM 34:0;3O",0.37086,0.38219,0.38285,0.36512,0.61843,0.61613,0.6149,0.61793
"SM 18:0;2O/21:0",0.36503,0.58221,0.51861,0.52946,0.51966,0.51418,0.61997,0.61763
"SM d32:1",0.36341,0.31735,0.38471,0.44198,0.44084,0.43852,0.49103,0.49065
"PS 36:1",0.36021,0.96731,1.0144,0.93701,0.90801,0.90216,0.89276,0.89322
"SM 42:1;3O",0.35918,0.37834,0.41677,0.40528,0.58453,0.58541,0.58354,0.58396
"PEtOH 16:1_18:1",0.35873,0.99846,1.4066,1.2993,1.2698,1.2646,1.3158,1.31
"SM d38:1",0.35829,0.34196,0.31989,0.55798,0.55596,0.55857,0.57884,0.58547
"TG 54:0",0.35763,0.64613,0.69583,0.82184,0.808,0.82133,0.84555,0.84337
"PC O-31:7",0.35451,1.8882,1.831,1.7161,1.6824,1.7125,1.7019,1.6953
"LPC P-18:0 or LPC O-18:1",0.35241,0.71731,0.79976,0.7526,0.73281,0.7962,0.8547,0.85394
"SM 34:2;3O",0.34418,0.95351,0.85311,0.79046,0.77644,0.78265,0.81581,0.81362
"Cer d46:1",0.34205,0.28334,0.55613,0.62136,0.75416,0.74569,0.74791,0.74515
"PC P-42:4 or PC O-42:5",0.34204,0.33078,0.44248,0.46449,0.48757,0.48607,0.49097,0.48892
"SM 46:5;3O",0.34193,0.40093,0.35812,0.57498,0.61617,0.64871,0.65452,0.68239
"SM d41:0",0.33953,0.29489,0.29962,0.30071,0.29483,0.29836,0.40157,0.40454
"SM d41:1",0.33742,0.29473,0.29782,0.36171,0.36754,0.36337,0.48941,0.48838
"PC 37:3",0.32405,0.33796,0.32882,0.70633,0.68883,0.68937,0.68341,0.68381
"Cer d36:1",0.3217,0.60371,0.54467,0.50264,0.54575,0.57158,0.61718,0.61498
"SM 16:1;2O/16:0",0.31694,0.40511,0.50045,0.49701,0.66496,0.65696,0.68483,0.69453
"SM d40:0 Isomer A",0.30826,0.2827,0.30603,0.63719,0.63371,0.64234,0.66308,0.66047
"TG 47:3 Isomer B",0.30063,0.27884,0.32919,0.70098,0.69064,0.68655,0.68312,0.68154
"PC 36:2",0.30014,0.24654,0.38459,0.89936,0.88372,0.87299,0.86338,0.8602
"HexCer 18:1;2O/24:0",0.29979,0.43008,0.38843,0.50273,0.58084,0.62023,0.6149,0.61268
"SM d38:0 Isomer B",0.29933,0.46887,0.46586,0.42993,0.45531,0.45311,0.54005,0.53814
"Cer d39:1",0.29847,0.32988,0.4152,0.39947,0.41456,0.40969,0.47529,0.47385
"PI 16:0_16:0",0.2978,0.81228,0.86501,0.80126,0.79818,0.79078,0.78446,0.83927
"SHexCer 34:1;3O",0.29526,0.23612,0.36798,0.5442,0.52741,0.52103,0.51496,0.51261
