"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer-NP t42:0",0.045236,-0.056716,-0.043294,0.019313,0.011178,0.038226,-0.031284,0.070429
"Cholesterol",0.018814,-0.059525,-0.088426,0.079084,-0.029802,0.024412,-0.034491,0.060363
"cholesterol 3-sulfate",-0.011552,0.0087055,-0.036922,0.060167,-0.055213,-0.0079499,0.029745,0.014252
"cis-13-docosenoic acid",-0.025386,-0.0060927,-0.038697,0.04091,0.04137,0.018816,-0.042873,0.051547
"DG 18:1_18:2",0.034772,-0.07394,0.060802,-0.015415,0.037529,-0.0086748,-0.006599,0.088093
"DG 34:1",0.066201,-0.035789,0.018605,-0.0060768,-0.026557,0.047333,0.03934,0.036029
"docosanamide",-0.0094958,-0.058669,-0.044862,0.013199,-0.058563,0.012555,0.041378,0.052722
"FA 14:0 (myristic acid)",-0.005086,0.075857,-0.11899,0.03508,0.058269,-0.027245,0.0036221,-0.0047366
"FA 14:1 (physeteric acid)",-0.016636,0.076942,-0.095044,0.019304,0.080185,0.0011673,-0.079918,0.059737
"FA 15:0 (pentadecylic acid)",-0.011094,0.017102,-0.087692,0.080821,0.06062,-0.018619,-0.012879,-0.0046729
"FA 15:1",-0.023406,0.017767,-0.10174,0.069424,0.035759,0.0027188,-0.073369,0.062973
"FA 16:1 (palmitoleic acid)",-0.0082659,0.055391,-0.11228,0.060372,0.10528,-0.0012157,-0.05379,0.037075
"FA 17:0 (margaric acid)",0.0065636,-0.022862,-0.059724,0.075489,0.00070546,0.03113,-0.045163,-0.023196
"FA 18:1 (oleic acid)",-0.026644,0.020452,-0.033331,0.0054037,-0.038998,0.021024,0.047729,-0.081068
"FA 18:2 (linoleic acid)",-0.084577,0.095691,-0.065874,0.010427,-0.0080311,0.056437,0.002308,-0.003003
"FA 18:3 (linolenic acid)",-0.067013,0.063026,-0.020835,0.021744,0.0044387,-0.018177,-0.030104,0.031259
"FA 19:1",0.013245,0.053612,-0.099118,0.072733,0.05211,0.0024504,-0.023022,0.014714
"FA 20:2 (eicosadienoic acid)",-0.04429,0.068835,-0.10199,0.023407,0.01891,0.048368,0.01619,-0.023091
"FA 20:3 (homo-gamma-linolenic acid)",-0.098566,0.15762,-0.090767,-0.017422,-0.03211,0.068194,0.0020521,-0.057195
"FA 20:4 (arachidonic acid)",-0.14048,0.1865,-0.10453,-0.027679,0.0094812,0.071766,0.0086231,-0.071833
"FA 20:5 (eicosapentaenoic acid)",-0.10835,0.15905,-0.022856,-0.0097285,0.090617,-0.0053555,-0.014292,-0.043539
"FA 22:0 (behenic acid)",-0.013999,-0.019021,-0.096568,0.069829,0.041437,-0.014248,0.017726,0.013677
"FA 22:1 (erucic acid)",0.025173,-0.015024,-0.087263,0.06763,0.0057407,0.041281,-0.017815,-0.010382
"FA 22:2 (docosadienoic acid)",-0.010626,0.011163,-0.086323,0.086015,0.051384,-0.014416,0.020591,0.058052
"FA 22:4",-0.11712,0.16689,-0.077352,-0.014327,0.008162,0.057648,0.022599,-0.095338
"FA 22:6 (docosahexaenoic acid)",-0.13921,0.16765,-0.099198,0.0024593,0.035044,-0.011747,-0.0042803,-0.056593
"FA 23:0",-0.010087,-0.023755,-0.094808,0.074194,0.016217,-0.031673,0.010763,-0.0031293
"FA 24:1 (nervonic acid)",0.0067854,0.015897,-0.09922,0.088151,-0.053604,0.017116,-0.001681,0.003695
"FA 28:0 (montanic acid)",-0.0071669,-0.050401,-0.066223,0.076326,0.07708,-0.026571,-0.0039776,0.020644
"FA 30:0",0.012988,-0.037102,-0.073218,0.079287,0.073048,-0.00341,-0.036563,0.0096594
"FA 32:0",0.026516,-0.063326,-0.055259,0.066172,0.078414,-0.02007,-0.043193,0.06362
"FAHFA 18:0/20:2",-0.024919,-0.02445,-0.067905,0.036742,0.0029684,-0.043856,0.14323,-0.016295
"FAHFA 38:4",-0.043986,0.048983,-0.019632,-0.051694,-0.052428,0.042601,0.071208,-0.14221
"GlcCer d34:1",0.012192,0.012368,-0.0048009,0.053933,-0.082733,0.04522,0.031011,-0.0021144
"GlcCer d40:1",0.023687,-0.045279,-0.0241,0.0080616,-0.063305,0.021128,0.043742,0.043211
"GlcCer d41:1",0.02282,-0.021109,-0.062784,0.0053628,-0.034412,0.028375,-0.021583,0.077207
"GlcCer d42:1",0.024011,-0.025109,-0.042745,0.042954,-0.049371,0.024604,0.012297,0.019248
"GlcCer d42:2",0.022015,-0.040226,-0.0015141,0.0074051,-0.070296,0.032001,-0.035753,0.013937
"GlcCerd14:14E/20:02OH",0.0012927,-0.008133,0.0093505,-0.0013474,-0.071237,0.090349,-0.079454,0.039011
"Hex3Cer 18:1;2O/16:0",0.0076712,-0.023706,0.024556,0.01695,-0.048445,0.075511,-0.069707,0.054899
"HexCer 18:1;2O/24:0",0.027729,-0.033509,-0.031786,0.013926,-0.0086319,0.061548,0.0081877,0.0066907
"lactosylceramide d18:1/24:1 15Z",0.013863,0.027363,0.036075,-0.0072133,-0.13536,0.056868,0.061471,-0.0086394
"LNAPE 18:2_N-19:0",-0.0031417,-0.0023339,0.02207,-0.0034437,-0.057281,0.044301,-0.063209,0.0025364
"LNAPE 18:2/N-20:0",-0.00013746,-0.049021,-0.030474,0.039385,-0.060612,-0.0058399,0.017988,0.095274
"LPC 14:0",0.046766,0.081703,-0.068335,-0.026413,0.0033205,-0.0012215,-0.00052661,0.020823
"LPC 15:0",0.029724,0.08679,-0.051603,0.01086,-0.011508,0.049285,-0.017449,0.080233
"LPC 16:0",0.034952,0.090095,-0.057791,-0.0071094,-0.068766,0.043864,-0.029811,0.11715
"LPC 16:1",0.025797,0.053658,-0.01725,-0.018114,-0.048499,0.016409,0.021599,0.11151
"LPC 17:0",0.025527,0.06349,-0.052836,0.028171,-0.059166,0.026009,-0.042752,0.086894
"LPC 18:0",0.02409,0.072735,-0.040575,0.016279,-0.068334,0.033311,-0.014984,0.14496
"LPC 18:1",0.01171,0.10133,-0.010826,-0.029149,-0.11252,0.012926,0.05881,0.12972
"LPC 18:2",-0.033187,0.081442,0.0086383,-0.0074013,-0.053138,-0.032876,0.015681,0.15554
"LPC 20:0",-0.0083889,0.032714,-0.053399,0.04155,-0.10082,0.00043767,0.06268,0.051483
"LPC 20:1",0.0034214,0.030475,-0.082583,0.050681,-0.090319,0.0080159,0.078023,0.067463
"LPC 20:2",-0.017486,0.081675,-0.080671,0.041472,-0.073321,0.012325,0.054627,0.04335
"LPC 20:3",-0.041332,0.13523,-0.046748,-0.080002,-0.038799,-0.0022405,0.0055814,0.077387
"LPC 20:4",-0.097705,0.14743,-0.061857,-0.089521,0.063494,-0.037239,0.02271,0.10706
"LPC 20:5",-0.055349,0.12096,-0.041115,-0.020848,0.024673,-0.037285,-0.0090741,0.15772
"LPC 22:6",-0.091162,0.14048,-0.034248,-0.042003,0.075442,-0.072919,0.018868,0.076891
"LPC 32:0",0.034701,-0.023897,0.021189,0.02049,-0.06008,0.047909,0.0017342,0.085294
"LPC O-16:0",-0.01252,0.09123,-0.074139,0.0045394,-0.10481,0.080231,0.040091,0.036943
"LPC O-20:1",0.031326,0.01221,-0.13061,0.013522,0.0019295,0.037777,-0.022053,-0.018029
"LPC O-22:0",0.017352,0.045736,-0.018206,0.055323,-0.080419,0.013116,0.05859,-0.026905
"LPC O-24:0",0.026518,0.03047,0.036217,0.056014,-0.057297,-0.016435,-0.013024,-0.030186
"LPC O-24:1",0.008046,0.0083872,-0.037199,0.010209,-0.10048,0.0080851,0.025027,0.026361
"LPC P-16:0 or LPC O-16:1",-0.0034756,0.047136,-0.065477,-0.019267,-0.12293,0.06922,-0.0092682,0.028554
"LPC p-18:0",-0.0069962,0.082747,-0.07218,0.010943,-0.076032,0.088824,0.025889,0.016994
"LPC P-18:0 or LPC O-18:1",-0.0085268,0.09247,-0.065922,0.024645,-0.11071,0.035241,0.08471,0.075545
"LPE 16:0",-0.080017,0.045176,-0.051148,0.020216,-0.10333,0.055664,-0.020429,0.028946
"LPE 18:0",-0.041825,0.042603,-0.021198,-0.0026294,-0.083898,0.063419,-0.020056,-0.042691
"LPE 18:1",-0.089922,0.087981,0.0041249,0.0077011,-0.093816,0.026024,-0.0117,0.0086626
"LPE 18:2",-0.08291,0.095507,-0.022883,0.0052932,-0.069263,0.0027528,0.016847,0.090446
"LPE 20:4",-0.14557,0.13775,-0.034515,-0.026631,0.057259,-0.0325,0.0071018,0.067563
"LPE 22:6",-0.12998,0.11889,-0.071931,0.0063477,0.023933,-0.054983,0.014593,0.072776
"LPE O-16:1",-0.029546,0.039047,-0.027992,0.011532,-0.092138,0.11882,-0.054644,0.010483
"LPE O-18:1",-0.067219,0.049741,-0.049072,-0.030995,-0.071631,0.10053,-0.019513,-0.014659
"LPI 18:0",-0.0066169,0.087965,-0.10474,0.053314,-0.025517,0.009903,-0.038115,0.10454
"LPS 18:0",-0.063142,0.11551,-0.08068,0.035123,-0.080257,0.037571,-0.054447,0.055093
"MG 20:4",-0.071851,-0.03254,0.10435,-0.038748,0.083529,0.031058,0.0022306,-0.011987
