InChiKey,Pubchem_CID
WQEPLUUGTLDZJY-UHFFFAOYSA-N,13849
DJCQJZKZUCHHAL-VOTSOKGWSA-N,6365140
SECPZKHBENQXJG-FPLPWBNLSA-N,445638
KEMQGTRYUADPNZ-UHFFFAOYSA-N,10465
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,445639
JBYXPOFIGCOSSB-XBLVEGMJSA-N,5282796
DTOSIQBPPRVQHS-PDBXOOCHSA-N,5280934
YOKHLRHWEXTWJR-ZHACJKMWSA-N,14275215
XSXIVVZCUAHUJO-HZJYTTRNSA-N,6439848
HOBAELRKJCKHQD-QNEBEIHSSA-N,5280581
YZXBAPSDXZZRGB-DOFZRALJSA-N,444899
JAZBEHYOTPTENJ-JLNKQSITSA-N,446284
UKMSUNONTOPOIO-UHFFFAOYSA-N,8215
DPUOLQHDNGRHBS-KTKRTIGZSA-N,5281116
HVGRZDASOHMCSK-AVQMFFATSA-N,5282807
TWSWSIQAPQLDBP-DOFZRALJSA-N,5497181
MBMBGCFOFBJSGT-KUBAVDMBSA-N,445580
XEZVDURJDFGERA-UHFFFAOYSA-N,17085
GWHCXVQVJPWHRF-KTKRTIGZSA-N,5281120
UTOPWMOLSKOLTQ-UHFFFAOYSA-N,10470
VHOCUJPBKOZGJD-UHFFFAOYSA-N,10471
ICAIHSUWWZJGHD-UHFFFAOYSA-N,19255
HPRZTBFQSJGUBH-GNPIQOGOSA-N,138171084
UWSSQGYIAHOMJM-OMCRSCLLSA-N,138276051
YIGARKIIFOHVPF-YAEABVQUSA-N,6321359
SJGWLQDELUWRDA-MUYAOIFFSA-N,52931253
POQRWMRXUOPCLD-AAAFHMTMSA-N,6321361
WBOZIXHPUPAOIA-RBELZSLISA-N,6321360
YYILQTLJZBSOCA-IMJQGFQJSA-N,70699246
MGOOTGNGBOPVIV-UHFFFAOYSA-N,73657642
POQRWMRXUOPCLD-UHFFFAOYSA-N,74950937
MKOKWBRPIBQYJJ-LWQSSKHKSA-N,20057309
UCMCRSUZJUVXPT-MLWYYCKJSA-N,165300775
LMJRVTNHOFDJIG-UHFFFAOYSA-N,
VXUOFDJKYGDUJI-OAQYLSRUSA-N,460604
RJZVWDTYEWCUAR-JOCHJYFZSA-N,24779458
ASWBNKHCZGQVJV-HSZRJFAPSA-N,460602
LFUDDCMNKWEORN-ZXEGGCGDSA-N,24779461
SRRQPVVYXBTRQK-XMMPIXPASA-N,24779463
IHNKQIMGVNPMTC-RUZDIDTESA-N,497299
YAMUFBLWGFFICM-PTGWMXDISA-N,16081932
SPJFYYJXNPEZDW-FTJOPAKQSA-N,11005824
UATOAILWGVYRQS-HHHXNRCGSA-N,24779473
GJTDRNFWIDPARY-GTPZACKGSA-N,24779475
YYQVCMMXPIJVHY-ZOIJLGJPSA-N,52924053
BBNHCUBQEQJHIG-FZZJNMCHSA-N,52924055
GOMVPVRDBLLHQC-VEJNOCSESA-N,53480469
PDIGSOAOQOXRDU-WJPZTBRDSA-N,11757087
LSOWKZULVQWMLY-APPDJCNMSA-N,10415542
UNCMQZOMRTWPLO-UHFFFAOYSA-N,164437406
VLBPIWYTPAXCFJ-UHFFFAOYSA-N,3983
COFYPCHRMVFZHB-SEYXRHQNSA-N,164223487
XFOSVRQLSZRDHZ-UHFFFAOYSA-N,164473510
GOHRUNJZWITRRS-UHFFFAOYSA-N,164262773
LANVDNZVFGFCTB-PFONDFGASA-N,164321489
HTZINLFNXLXRBC-CQLBIITFSA-N,10917802
XKBJVQHMEXMFDZ-UHFFFAOYSA-N,3985
CKPBBEOJHAPPBT-HXUWFJFHSA-N,53480922
CKPBBEOJHAPPBT-HXUWFJFHSA-N,90657394
PYVRVRFVLRNJLY-UHFFFAOYSA-N,25200684
PYVRVRFVLRNJLY-UHFFFAOYSA-N,74413339
DBHKHNGBVGWQJE-UHFFFAOYSA-N,75958059
XEVRBOQZSXWGQO-PAUXXPOVSA-N,52925132
RRTPYUGIBQLEDN-FPLPWBNLSA-N,164410072
CDONWGCJDDHTLP-KTKRTIGZSA-N,164218122
MXAFDFDAIFZFET-UHFFFAOYNA-N,
ZPDQFUYPBVXUKS-UHFFFAOYNA-N,
RCRCTBLIHCHWDZ-UHFFFAOYSA-N,1541
GIEIKQLTPYMKIQ-LPNQNMOLSA-N,134732480
FJJANLYCZUNFSE-UHFFFAOYSA-N,74978583
REZDVJZZVDNTBB-HHZFRUDZSA-N,138251404
MHUWZNTUIIFHAS-UHFFFAOYSA-N,161048
HXYVTAGFYLMHSO-UHFFFAOYSA-N,4671
XGGMHQYOVYWRLV-IZNHTBNISA-N,24778615
UIXXHROAQSBBOV-UHFFFAOYSA-N,10190333
JLPULHDHAOZNQI-UHFFFAOYSA-N,122218
IESVDEZGAHUQJU-UHFFFAOYSA-N,74063529
RKIDALSACBQVTN-UHFFFAOYSA-N,9985914
GHQQYDSARXURNG-UHFFFAOYSA-N,10995965
CDZVJFRXJAUXPP-UHFFFAOYSA-N,11365502
PPTNNIINSOQWCE-WJOKGBTCSA-N,46907874
ATHVAWFAEPLPPQ-UHFFFAOYSA-N,3033933
ZHAHTCLACAJNQI-SEYXRHQNSA-N,138312775
FJBBYFIJZSIGIO-UTJQPWESSA-N,138152330
XOZKRFBVCYMGKM-GKFVBPDJSA-N,138298680
IJFVSSZAOYLHEE-UHFFFAOYSA-N,65262
CITGLCJVPOWHKC-UUWRZZSWSA-N,
GWWAIYISJPUKIW-UHFFFAOYSA-N,138165033
RFVFQQWKPSOBED-UHFFFAOYSA-N,10169024
UEAGIABUXIUQCP-OOKUQGPRSA-N,138270043
NPGWXTIWUUFYAB-DIPNUNPCSA-N,24778680
QFVHCMLUKNHDSH-WTWBAFHPSA-N,24778657
KILNVBDSWZSGLL-KXQOOQHDSA-N,452110
QIBZFHLFHCIUOT-NPBIGWJUSA-N,6443788
GPWHCUUIQMGELX-VHQDNGOZSA-N,24778764
FHENRYRLCPXONH-LDLOPFEMSA-N,52922645
OFRWLQSOUIZELQ-VEAYGOGPSA-N,52922442
SBNDHGBVMZMSNL-UESLNCBNSA-N,52922715
MEMAURRDSIYTGR-ASMNEVJASA-N,138209411
PZNPLUBHRSSFHT-RRHRGVEJSA-N,24778686
WTJKGGKOPKCXLL-MRCUWXFGSA-N,6436017
JLPULHDHAOZNQI-ZTIMHPMXSA-N,5287971
VKVSSDKCKXJFIM-AFYHZPHLSA-N,52923213
YWDDIWXKFJEMKF-JTZVLWBESA-N,52922891
ZSKWZJYUVZYDQU-WESJWMGVSA-N,52922491
MJWAVUYQCBFFHQ-WESJWMGVSA-N,52922721
AYXGHIQPMDYMJC-AHMBLZLYSA-N,52924614
LYNZMLHNPYEREG-ZHMZGHMTSA-N,52922895
NRJAVPSFFCBXDT-UHFFFAOYSA-N,65146
ATHVAWFAEPLPPQ-VRDBWYNSSA-N,24778825
SNKAWJBJQDLSFF-NVKMUCNASA-N,10350317
YPAZQMWFRMHBBM-CLKMJQEKSA-N,53478785
NKQPOVROGSWLTO-NVPMBMBWSA-N,52922783
IIZPXYDJLKNOIY-JXPKJXOSSA-N,10747814
IIZPXYDJLKNOIY-JXPKJXOSSA-N,10747814
SUZYROYNFNQALJ-MHEIZRSESA-N,52923341
OOYQEEUUQRMQKL-JUUDQZDJSA-N,52922851
QRPUCJXFPYFTMB-FBFLODOBSA-N,52922853
ZQLPLCXRBVPKGP-UHFFFAOYSA-N,
LLUINWFQEIMZRU-UHFFFAOYSA-N,
HUAVKOMRGUBYMK-UHFFFAOYSA-N,
PSVRFUPOQYJOOZ-QNPWAGBNSA-N,16219824
SUACBSWYGWBPFC-GPUJSUHJSA-N,52923235
YLWBKBDNHWQEFU-YJXJLLHLSA-N,53479033
PLZBTDKJYHXIEW-DZUXOTHRSA-N,52923295
BTLDQGKXGHSRQN-FCQUAONHSA-N,138130353
FHUAYOMRHXZKHT-JUGJLYODSA-N,53479183
IJTJDJOOHZVSAC-NDRUHXFFSA-N,53479083
SFESOYFQZQJCOY-FXYWPAEZSA-N,52923365
TYRTWVKQVGNGSZ-RGBTVBCDSA-N,52923195
BPUROMFCPFGBOT-ZEGPSQTJSA-N,24778982
LZCAQCSFNYERJW-HKOLQMFGSA-N,138207689
GTFLTTXDLGEBAI-UHFFFAOYSA-N,24779324
QWXGXDFYLSOKRF-UHFFFAOYSA-N,164399195
CNXQXEMKYGYFSY-ZCXUNETKSA-N,164223362
ANUFGDKBXWACSN-KGJCVUFKSA-N,164196371
SVWBXNAUENUONE-LDLOPFEMSA-N,173570
BXQUYBIIGCTQFV-VLGSPTGOSA-N,138131771
LXEGSWFXNDUGIV-UHFFFAOYSA-N,164333045
ZKTXOJMFIAILJG-VQJSHJPSSA-N,24779361
CTZJPIRYGNJXMR-MRCUWXFGSA-N,138138968
LBZZFYDZWFULSD-UHFFFAOYSA-N,164322236
VISUXPRSUNICAX-VYEFPUSRSA-N,164448386
URDZVAHPTRQDFK-AKXWPXBYSA-N,164439451
QCGUXAIDEOWPBV-SNKLRXETSA-N,53481719
MBRHHFWRXQYYAN-JEPFLRBFSA-N,70698781
MBRHHFWRXQYYAN-RTVLTNFHSA-N,53480735
QEWRXEALGMKRGP-MZWPLUPDSA-N,24779293
ZYLPVUZBZNMVMR-ZBBHDILGSA-N,52923754
ZYLPVUZBZNMVMR-ZBBHDILGSA-N,52923754
DIHWZUCEXWUHOD-IIVNATNGSA-N,53480801
PYVYDRMXPDZRIS-FINMKEMFSA-N,53480709
RWVKPDIHPPTVRQ-HWGQMOSASA-N,53480747
GWBOVQHRCURSPU-QMFAPAEZSA-N,53480815
YPAPIRJFGNBODV-AMFPDOHCSA-N,53480715
UWNFEVACEPZILS-RNNLSGHUSA-N,52924022
KUHMJRMPHBRAMY-DDURNVNNSA-N,53480775
NLEDXBSUDVLSEN-UFFJXODHSA-N,52924034
QZMFOSCFDWPISC-KQHSIIGPSA-N,53481769
CEZAZXUWDFPTTE-FHIJIHMSSA-N,53481767
HGDJXBPLHZFXGO-LBXGSASVSA-N,134735007
RECBGBLFDMTQRS-SGEDCAFJSA-N,134763376
HBZNVZIRJWODIB-NHCUFCNUSA-N,9546747
HBZNVZIRJWODIB-NHCUFCNUSA-N,46891780
JQKOHRZNEOQNJE-ZZEZOPTASA-N,9546734
JQKOHRZNEOQNJE-ZZEZOPTASA-N,25244969
GKAFCSRKMWFPSJ-RQOIEFAZSA-N,25245362
KZLUVTCXBFEIFJ-XGLJQOENSA-N,52924904
ICYDFONFTSPCRL-BHYOAKPMSA-N,138175392
ZYMZKMQPPJPQHY-HAGCXRLMSA-N,138318539
LFGBKOUQHCWBQI-BZGLIJSBSA-N,52924893
MPWUZHVZZKSTPV-LGFBOSHVSA-N,6426738
RFPQMVKZNQOUGY-KXYOHKLBSA-N,138251610
RIQAKBUOHSSMTC-PNBIJBBKSA-N,138252555
KGCPGAKRLOCUEV-ZLXBYIIJSA-N,138193153
HEASGCOZOMIKFU-WUVHBKSUSA-N,134734766
IVBLZGVNSKPGOR-XAJDCCMMSA-N,138181306
YJPYELPDWSEQHM-KTUZNUCGSA-N,134781472
JWICLJISDBHCTF-MAZCIEHSSA-N,138190053
GZMXKUALKXYCMM-XSEHFSNESA-N,134734287
NKXPONDLZHZZND-PKBJNFAXSA-N,138219791
ZOSSFCIAXYNTHL-CSTBBDSDSA-N,53480893
CFANDHZPOSNKNO-UDHSZFGOSA-N,53480897
ADWDFBQPQIEGRZ-XBICFDGKSA-N,53480870
URPXXNCTXCOATD-FXMFQVEGSA-N,9547058
URPXXNCTXCOATD-FXMFQVEGSA-N,86289532
IQSPCSIULMCRPM-ZAJUHDLGSA-N,53479831
FIJFPUAJUDAZEY-UHFFFAOYSA-N,74819122
UYHAERNXVVKSCT-UHFFFAOYSA-N,15595546
MLHVKKWOXVSPDG-VLGSPTGOSA-N,138211560
JCABVIFDXFFRMT-VXPUYCOJSA-N,56640029
QTIJJMLOUMWMQQ-BUPHOURSSA-N,138247565
BHQKOVPFLAAQTH-IQRFGFHNSA-N,138126591
SQEHUBDFCCVGCJ-FRKBGCJLSA-N,138263544
JSNRLDUOKDFFEU-WRBBJXAJSA-N,10283746
GPUYXMCSIACMOK-YBDJVEANSA-N,138162825
LFYQADSKGJQQJD-XDOYNYLZSA-N,138201526
ZDYYWMSLMLTXDM-UHFFFAOYSA-N,14550408
XEYBRNLFEZDVAW-ARSRFYASSA-N,5280360
QDRJMAHGAQYRIN-PKKQLAOCSA-N,134760384
QBAQUPWJTLVJBD-CZAAGYDRSA-N,134760121
IBUKXRINTKQBRQ-UHFFFAOYSA-N,14185941
KRTOMQDUKGRFDJ-UHFFFAOYSA-N,72280035
RNXWIPLNUTUDRT-YHSIYXGOSA-N,
PDLAMJKMOKWLAJ-AGORXRROSA-N,
GIASXRZRWQSUOZ-QGLGPCELSA-N,138160318
GXAHXPDRXNWFIX-UHFFFAOYSA-N,75961204
YOBFISPJJWPPTK-JUCSSFOXSA-N,
WPXXYOUAQYYXER-BFRKKRKTSA-N,
VVADTISLHXZLIB-WNWAWKNRSA-N,
KRTOMQDUKGRFDJ-MWZLTEOLSA-N,
VAARQXKGNHCRDF-HNENSFHCSA-N,91844613
BAGQGBPETWVHAA-BHYOAKPMSA-N,138124235
LYYHRRPTEXPVOR-UHFFFAOYSA-N,75228707
AJFWREUFUPEYII-UHFFFAOYSA-N,72367180
AJFWREUFUPEYII-UHFFFAOYSA-N,72367181
WTBFLCSPLLEDEM-UHFFFAOYSA-N,3451126
WHUMBFDYURAXQS-UHFFFAOYSA-N,163173458
LJUFXCVFKSJRPV-UHFFFAOYSA-N,163145443
JRFKMQPJBVVBJJ-HNENSFHCNA-N,
XJVULJZLBYKHPR-ZZEZOPTASA-N,138296974
OQIWXZOPYYGVRQ-KBKSMPMVSA-N,164369355
RPTUKVYGSPDHGQ-PSALXKTOSA-N,52931133
RKFZWGKFJRROLE-UHFFFAOYSA-N,138253064
BCTOQCAZSBNMRM-UHFFFAOYSA-N,
CJWKFVAVABUHAE-JNWHQOFSSA-N,138135715
OAUYZGOKCOOZQY-KHDLYOHESA-N,134754404
WKZHECFHXLTOLJ-QYKFWSDSSA-N,44260126
JBQDYUPDGKCATP-TXCPKXGHSA-N,138183391
SOVXFUWAPHISDA-UHFFFAOYSA-N,
UKMFJSXXKFILSZ-CLPWHFLUSA-N,164435995
NBQFCWGLZDZGQW-UHFFFAOYSA-N,164348457
AEPRVLRKSXEZQJ-UHFFFAOYSA-N,164191716
JMOURNFROFBOII-IDDCRRPISA-N,164301220
NZVSGOQOFUVMHA-QOSDPKFLSA-N,164360868
TXPHQQBLLBPGPI-LTFXTMEVSA-N,164429504
QOANPDGQAVGULE-UHFFFAOYSA-N,164394683
PGBVCNBXYRUHSM-FCQUAONHSA-N,164377505
KJIZRYXAVOKYMQ-CTRILWCZSA-N,164312613
GEMQHTDVCJDVFM-NIUCGTTNSA-N,164257944
IINZWIWNQHXSFK-SPRSFGERSA-N,164286080
ICUBQMRRQYLOPA-ZCXUNETKSA-N,164283097
OHEVRWBQEIUTTH-BPRLVAOOSA-N,164364649
HZCLJRFPXMKWHR-FEBLJDHQSA-N,44260123
FJYURYAFGRADQP-WSYRTZMQSA-N,134729785
KYICBZWZQPCUMO-PSALXKTOSA-N,11433862
PEJGMBUENJSLLH-RHAKMSQVSA-N,52931131
LQINJRUGTUOHGS-YPDYIYJKSA-N,52931139
QHZIGNLCLJPLCU-QPPIDDCLSA-N,9939965
RWKUXQNLWDTSLO-GWQJGLRPSA-N,9939941
YLWSJLLZUHSIEA-CKSUKHGVSA-N,52931235
LDJGVBCPOLCJJN-DQRAZIAOSA-N,138200616
HVVDGWWLGYBUAB-JYDNXXCZSA-N,138173078
JCELSEVNSMXGKA-IOLBBIBUSA-N,44260130
ZGVJYAAWNDFHCO-UHFFFAOYSA-N,133039055
LKQLRGMMMAHREN-YJFXYUILSA-N,6453725
NBEADXWAAWCCDG-QDDWGVBQSA-N,6443882
CCIVNUZPQKBOGQ-DQRAZIAOSA-N,138133336
UGRZESKDAPEULH-ACEXITHZSA-N,44260131
WZSCABKLRFKQRR-UHFFFAOYSA-N,133039061
AADLTHQNYQJHQV-SVLGDMRNSA-N,44260124
MDRFMTLYKHBJTF-NQYLGBTJSA-N,52931179
KULNRFSPBZSGEG-FKXCBRKISA-N,138197772
YXSZOBWVQJIWNE-LUJNSPTCSA-N,134783033
VSRBUFVNVHHRJF-XVBXMYMNSA-N,138283119
FONAXCRWZQFJHY-JCGOJSMZSA-N,44260132
GBLHWUFOHMAULL-UHFFFAOYSA-N,138158223
FJJANLYCZUNFSE-QVMKKYBKSA-N,13832233
FJJANLYCZUNFSE-UHFFFAOYSA-N,74978583
VBFKEZGCUWHGSK-ADSSWVSQSA-N,52931203
LPTFILGGDLXKLI-XUMHSMKBSA-N,138204581
JNBCYYBMDZJSNB-UHFFFAOYSA-N,138186992
SXZWBNWTCVLZJN-NMIJJABPSA-N,46891684
JBDGKEXQKCCQFK-JWQIMADESA-N,52931209
JBDGKEXQKCCQFK-JWQIMADESA-N,52931209
SMJLGESYPKPRNU-CRCOQUFZSA-N,44260134
QEDPUVGSSDPBMD-XTAIVQBESA-N,44260127
DACOGJMBYLZYDH-GXJPFUDISA-N,52931217
TXFLWJQVQCDUDZ-BRUGZULGSA-N,52931215
ULARPQXVRGTQDC-UHFFFAOYSA-N,
LXMARZYBSFYVSY-KUQVZNNZSA-N,52931225
LLVAOJYISMLSAW-MEIHLTSWSA-N,138203351
YXEXWUZHFGYOHJ-UOJCCMJYSA-N,44260128
YXEXWUZHFGYOHJ-UOJCCMJYSA-N,44260128
BEKSPMFXMXQNCT-BVJXSWLFSA-N,138125546
QXSJLYUTPJUIBV-UHFFFAOYSA-N,164399562
HIEGLQBXJKXOLA-UHFFFAOYSA-N,164272773
GXRODSBSDBCXSO-YJMJMZFLSA-N,164267569
PGYNJJCWPCAGLG-BDUYNUQCSA-N,56938013
YWKYRFUPKVVPAH-UHFFFAOYSA-N,85034455
OYJUWYHFGMRWBN-UHFFFAOYSA-N,14122755
KHOXIGZKRZJQTF-UHFFFAOYSA-N,15904519
RJHHICMBDSUIHF-UHFFFAOYSA-N,164405679
VMPHSYLJUKZBJJ-UHFFFAOYSA-N,10851
SMUUMIRCIBXLGI-UHFFFAOYSA-N,4589033
XTHFMIVZMLNNFC-RRHRGVEJSA-N,91865738
GKTDXHXZBFIZJU-OIJJMQLXSA-N,56936435
DUXYWXYOBMKGIN-UHFFFAOYSA-N,11148
PMWOTNASJLOLJE-BNQAGZCGSA-N,56937002
IDWYMMYRNPSLDA-NNBKTNTFSA-N,56937031
BIVVSKATUZHURG-UHFFFAOYSA-N,138126990
UXWDTZNNQVHGSG-UHFFFAOYSA-N,14169768
OUKDNADVOQVFAR-NBTXLFQMSA-N,56937112
LJXSUVSRRMQRRA-WHTYERKGSA-N,56936464
RIBSYLFDZQICKH-UHFFFAOYSA-N,138252395
HUPAFPZFSCXOMQ-VZCXRCSSSA-N,138172681
JWVXCFSNEOMSHH-UHFFFAOYSA-N,4099879
RSDIQTNCDWUNDP-VHXPQNKSSA-N,11764207
XUEMVUXNOCIHLG-MOFPORNTSA-N,56936582
LVVDEVHUTIMHAK-UHFFFAOYSA-N,138206625
IQJXUVXBOJLBGI-ZJMBEJSASA-N,138179749
RSOCCAXBUJEZFM-AAPVPQQHSA-N,138255788
PVNIQBQSYATKKL-UHFFFAOYSA-N,11147
FEKLSEFRUGWUOS-DLOIZKPKSA-N,9543986
RUOVJPPUXXFZPC-YZEIBMOJSA-N,9543987
SKGWNZXOCSYJQL-BUTYCLJRSA-N,9543989
TTWJTJMWHOYBPQ-ANFMRNGASA-N,9543988
VYYGQDOPVVYUKW-UKFBYESTSA-N,9543991
QZYSUBAQYSVFNX-PSMULLBHSA-N,9543993
DIGMYZZFQSIQBD-PNLKURBTSA-N,56938088
MARPCPMDFOPPJX-UHFFFAOYSA-N,545588
YHMDGPZOSGBQRH-YYSBDVFPSA-N,25240460
QEZWFCZNHWUARW-XQCAQTCHSA-N,9544010
UFHNZOACKFBCOM-YXKNDSBASA-N,25240357
PVMBAGXWHHZKFP-JMPJWMFJSA-N,25240359
YVLSJEQNDDKMQI-UHFFFAOYSA-N,138309104
OZAXLAGNPZMZAD-BOEMPQCLSA-N,9544006
NSNSZGBCOIKUBU-SZOKBDNISA-N,9544013
ISSGPXMQOMAFMJ-DMGKHJLRSA-N,9544023
IIRQXNVLAXQEKB-KBEZCZBDSA-N,9544052
SDNYRTVJOFMYIW-OIVUAWODSA-N,545690
NPCZZYKITFKRQZ-RFBIWTDZSA-N,5365005
TXMWKTABZBAJCW-QLHBUVOUSA-N,56938176
DQXQIWIQYYEGLG-MMWLGPPDSA-N,56938177
WHSWXEYWNPTUPW-HNJDVRDNSA-N,25240364
GYTIAZWYWATMNI-UHFFFAOYSA-N,
CQZAAIKPSLHIBC-KDJOUNIJSA-N,25240366
RSINITWKVQRWSZ-RFVLVDBCSA-N,9544102
ZNQBEJJYVJSZLM-LEDQTTRKSA-N,9544126
BMSDHYZLQWTKSQ-LSJAAEOESA-N,9544152
KKBWDSMULWDHME-UHFFFAOYSA-N,131756478
YFFIQXNTTVSKJC-NZEOUKRFSA-N,16058371
WUUWGORPQFKFQN-XDVOZUNOSA-N,56938183
PHYFQTYBJUILEZ-IUPFWZBJSA-N,5497163
BRLGHZXETDWABO-NOFIOOQLSA-N,9544255
OEJXMJPFOHYSIU-GRLFFVHSSA-N,9544294
HBOQXIRUPVQLKX-BBWANDEASA-N,5322095
HBOQXIRUPVQLKX-BBWANDEASA-N,5322095
JNBIJLFMSZHQLU-IGGPMUHHSA-N,138186997
OCYFAHIHWCVZKS-FHSLLVMSSA-N,9544345
PDEQUPGHMOMBFC-FYEHETCMSA-N,9544390
QXMHHXQBBKDSSL-BAQZNRHJSA-N,9544447
YONCDTJKIZDSKQ-IYASBODOSA-N,25240379
ZTNDRFCABXFVMY-WJTCTALZSA-N,9544625
DODZUDCYRVWEOJ-GKZBLMSTSA-N,9544695
DODZUDCYRVWEOJ-GKZBLMSTSA-N,9544695
UBGUHMDKBGQUND-VPFWBQFRSA-N,9544762
NFQQJRGJJVQGAV-MEADVOAOSA-N,56938341
RFMSTHTUAZETPD-JJPHLYBUSA-N,9544748
CCKRHDUCFMOBKX-AAINFQTBSA-N,9544835
KWIGMCRWEINBIR-HUPVKWKYSA-N,9545124
RVXFSLZMZOFGEQ-SWIIBWKZSA-N,9545200
QPNVLDQSHXVPMG-JMYPUKFOSA-N,9545040
IJOXAPFYWITIHW-KUBXGBLDSA-N,
DNWUYCUUEGGVPR-CLTKARDFSA-N,24066906
