"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 56:1",0.8531,0.78522,0.70341,0.80482,0.78552,0.7764,0.78352,0.7867
"TG 54:4",0.85225,1.103,1.0693,1.0429,1.0153,1.0039,0.99583,0.9916
"PE O-40:6 Isomer B",0.84901,1.0042,1.2883,1.311,1.2991,1.2849,1.2723,1.2676
"PC 30:0",0.84712,0.80015,0.72411,0.91145,0.91459,0.92066,0.91415,0.90999
"FAHFA 18:0/20:2",0.84453,0.815,0.72809,0.83546,0.82364,0.81547,0.87753,0.87545
"PC 16:0_glutaric acid",0.84428,1.0591,0.93846,0.90612,1.013,1.0033,1.0073,1.0042
"PEtOH 18:1_20:4",0.83606,1.2644,1.1223,1.1758,1.151,1.2371,1.2609,1.2701
"PC O-40:2 or PC 40:2e",0.83469,0.67207,0.63475,0.5856,0.75987,0.75068,0.76935,0.76654
"TG 45:1",0.83121,0.75545,0.69168,0.8411,0.82926,0.84189,0.84024,0.83719
"Cer d33:1",0.82732,0.65739,0.91091,0.84777,0.8254,0.82938,0.83148,0.82944
"Cer-NDS d39:0",0.82655,1.1411,1.1152,1.2914,1.2542,1.2397,1.2275,1.2244
"LPS 18:0",0.82581,0.87783,1.1357,1.0449,1.0729,1.0597,1.0577,1.0528
"LPC 17:0",0.82218,0.71212,0.78072,0.72102,0.72356,0.71799,0.7114,0.71068
"C16 Lactosyl Ceramide (d18:1/16:0)",0.82058,0.9966,0.97092,0.89465,0.8916,0.91786,0.91453,0.91061
"PC 34:0",0.81307,0.96181,0.96048,0.98814,0.97412,0.97253,0.96116,0.95751
"Cer 22:0;2O/26:0",0.80853,0.9391,1.1909,1.0974,1.1983,1.1887,1.1745,1.1739
"PC P-42:2 or PC O-42:3",0.80435,0.66993,0.95194,0.88907,0.87819,0.86824,0.86822,0.87286
"LPE 18:0",0.80092,0.64106,0.71492,0.68519,0.68994,0.70327,0.69782,0.69704
"PC P-40:5 or PC O-40:6",0.79965,0.63128,0.6121,0.58776,0.5989,0.59162,0.59942,0.60191
"Phosphatidylethanolamine alkenyl 18:0-18:2",0.7974,0.92765,1.2451,1.1531,1.1451,1.1476,1.1552,1.1567
"acylcarnitine 08:0",0.79733,0.77979,1.3784,1.4773,1.4321,1.4187,1.4056,1.3992
"PC 34:3 Isomer B",0.79624,0.7333,0.66267,0.94685,0.92892,0.91974,0.91208,0.90804
"CE 18:1",0.79144,1.3938,1.2366,1.1404,1.1201,1.1131,1.1026,1.0996
"Cer d36:2",0.78311,1.1941,1.0915,1.2552,1.2608,1.3397,1.3459,1.3395
"LPC O-22:0",0.78064,0.8225,0.72855,0.69513,0.75529,0.74671,0.73778,0.78356
"TG 43:0",0.77478,0.7399,0.74277,0.74723,0.74348,0.77768,0.76898,0.76537
"SM 32:0;3O",0.77038,0.71313,0.75299,0.70616,0.68946,0.69305,0.70109,0.69908
"FA 23:0",0.77034,0.94843,0.89892,1.002,0.97513,0.96896,0.95742,0.95344
"Cer 20:0;2O/24:0",0.76592,0.89965,0.79683,0.83524,0.89023,0.8788,0.88716,0.8831
"LPC 22:6",0.76583,1.3419,1.3824,1.3057,1.2692,1.2656,1.2547,1.249
"TG 58:2",0.76515,0.68012,0.60986,0.78702,0.78274,0.77368,0.77314,0.7815
"LPC 18:1",0.76183,0.87595,0.99485,1.0126,1.0035,1.0194,1.0533,1.0534
"Cer 18:2;2O/22:0",0.74894,0.60456,0.64476,0.71221,0.69469,0.71597,0.74746,0.74918
"FAHFA 38:4",0.74574,0.58999,0.83514,0.89611,0.86867,0.88285,0.87715,0.903
"SM d41:2 Isomer A",0.73888,0.95418,0.86813,0.82694,0.81558,0.81142,0.80395,0.80412
