"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"LPC 16:0",0.040331,0.093188,-0.055879,-0.01302,-0.075663,0.047956,-0.017326,0.082284
"LPC 16:1",0.031777,0.058504,-0.012797,-0.021111,-0.054813,0.017708,0.025266,0.093102
"LPC 17:0",0.027341,0.061997,-0.053615,0.025029,-0.056915,0.031656,-0.030884,0.060967
"LPC 18:0",0.026594,0.073545,-0.041523,0.010775,-0.069426,0.037771,-0.0016195,0.11027
"LPC 18:1",0.011157,0.10233,-0.016234,-0.032741,-0.10871,0.012744,0.069486,0.11063
"LPC 18:2",-0.032679,0.083034,0.0021412,-0.0090175,-0.042236,-0.029395,0.023823,0.1115
"LPC 20:0",-0.0037126,0.034409,-0.052458,0.037377,-0.099969,0.0027282,0.071722,0.012847
"LPC 20:1",0.0089171,0.030524,-0.080278,0.047769,-0.090133,0.011018,0.086041,0.042842
"LPC 20:2",-0.011767,0.083687,-0.080646,0.039706,-0.074361,0.015005,0.063133,0.015641
"LPC 20:3",-0.037504,0.14032,-0.050976,-0.079078,-0.03882,-0.0023665,0.0085337,0.061637
"LPC 20:4",-0.094744,0.15193,-0.07358,-0.088948,0.066826,-0.033727,0.033456,0.075922
"LPC 20:5",-0.050861,0.12574,-0.045298,-0.019697,0.019846,-0.039253,-0.012037,0.16572
"LPC 22:6",-0.082552,0.15253,-0.039537,-0.04434,0.069417,-0.072114,0.027143,0.050192
"LPC 32:0",0.034705,-0.023255,0.025965,0.01864,-0.060277,0.048243,0.000029878,0.070977
"LPC O-16:0",-0.0088995,0.093647,-0.073754,0.0018312,-0.10741,0.082265,0.052314,0.009824
"LPC O-20:1",0.030941,0.0045762,-0.12812,0.020079,0.001749,0.037566,-0.034293,0.021468
"LPC O-22:0",0.015617,0.042993,-0.021408,0.053727,-0.077464,0.012475,0.065365,-0.032486
"LPC O-24:0",0.023064,0.028686,0.033004,0.054797,-0.055952,-0.019906,-0.014095,-0.030005
"LPC O-24:1",0.012405,0.010502,-0.033524,0.006814,-0.10261,0.008865,0.03133,0.011574
"LPC P-16:0 or LPC O-16:1",-0.0015013,0.048222,-0.062498,-0.018857,-0.1236,0.068571,-0.008788,0.020068
"LPC p-18:0",-0.0054779,0.083381,-0.07297,0.0085048,-0.079569,0.089982,0.035631,-0.0013239
"LPC P-18:0 or LPC O-18:1",-0.0015368,0.096766,-0.063872,0.022143,-0.112,0.038054,0.095526,0.041939
