"identifier","annotation","ion_species","InChiKey","mz","ret_time","ESI_mode"
"3.22_479.48","FA 32:0 ","[M-H]-","ICAIHSUWWZJGHD-UHFFFAOYSA-N","479.48250000000002","3.222","ESI neg"
"1.37_589.52","FAHFA 18:0/20:2 ","[M-H]-","HPRZTBFQSJGUBH-GNPIQOGOSA-N","589.51689999999996","1.37","ESI neg"
"1.13_585.49","FAHFA 38:4 ","[M-H]-","UWSSQGYIAHOMJM-OMCRSCLLSA-N","585.48580000000004","1.129","ESI neg"
"2.06_844.62_2.06_884.61","GlcCer d34:1 ","[M+H-H2O]+_[M+Na]+",NA,"844.6157_884.6076","2.0634999999999999","ESI pos"
"2.94_818.63","GlcCer d40:1 ","[M+Cl]- ","YIGARKIIFOHVPF-YAEABVQUSA-N","818.62779999999998","2.9390000000000001","ESI neg"
"3.05_832.64","GlcCer d41:1 ","[M+Cl]-","SJGWLQDELUWRDA-MUYAOIFFSA-N","832.63850000000002","3.0489999999999999","ESI neg"
"3.16_846.66","GlcCer d42:1 ","[M+Cl]- ","POQRWMRXUOPCLD-AAAFHMTMSA-N","846.65830000000005","3.1640000000000001","ESI neg"
"2.92_844.64","GlcCer d42:2 ","[M+Cl]-","WBOZIXHPUPAOIA-RBELZSLISA-N","844.64449999999999","2.9239999999999999","ESI neg"
"2.13_750.53","GlcCerd14:14E/20:02OH ","[M+Cl]-","YYILQTLJZBSOCA-IMJQGFQJSA-N","750.52829999999994","2.1349999999999998","ESI neg"
"2.00_1024.68","Hex3Cer 18:1;2O/16:0 ","[M+H]+","MGOOTGNGBOPVIV-UHFFFAOYSA-N","1024.6803","2.0049999999999999","ESI pos"
"3.09_812.70","HexCer 18:1;2O/24:0 ","[M+H]+","POQRWMRXUOPCLD-UHFFFAOYSA-N","812.69920000000002","3.0910000000000002","ESI pos"
"2.77_972.73_2.77_994.72","lactosylceramide d18:1/24:1 15Z ","[M+H]+_[M+Na]+","MKOKWBRPIBQYJJ-LWQSSKHKSA-N","972.7334_994.7155","2.7694999999999999","ESI pos"
"2.39_756.55","LNAPE 18:2_N-19:0 ","[M-H]-","UCMCRSUZJUVXPT-MLWYYCKJSA-N","756.55409999999995","2.391","ESI neg"
"2.46_770.57","LNAPE 18:2/N-20:0 ","[M-H]-","LMJRVTNHOFDJIG-UHFFFAOYSA-N","770.56870000000004","2.4609999999999999","ESI neg"
"0.43_468.31","LPC 14:0 ","[M+H]+","VXUOFDJKYGDUJI-OAQYLSRUSA-N","468.30869999999999","0.433","ESI pos"
"0.53_482.32","LPC 15:0 ","[M+H]+","RJZVWDTYEWCUAR-JOCHJYFZSA-N","482.32380000000001","0.52900000000000003","ESI pos"
"0.66_496.34_0.66_518.32","LPC 16:0","[M+H]+_[M+Na]+","ASWBNKHCZGQVJV-HSZRJFAPSA-N","496.3419_518.3222","0.65800000000000003","ESI pos"
"0.47_494.32","LPC 16:1 ","[M+H]+","LFUDDCMNKWEORN-ZXEGGCGDSA-N","494.32380000000001","0.47299999999999998","ESI pos"
"0.81_510.36","LPC 17:0 ","[M+H]+","SRRQPVVYXBTRQK-XMMPIXPASA-N","510.35520000000002","0.81200000000000006","ESI pos"
"1.00_524.37_1.00_546.35","LPC 18:0 ","[M+H]+_[M+Na]+","IHNKQIMGVNPMTC-RUZDIDTESA-N","524.3711_546.3524","0.999","ESI pos"
"0.72_522.36_0.72_544.34","LPC 18:1 ","[M+H]+_[M+Na]+","YAMUFBLWGFFICM-PTGWMXDISA-N","522.3555_544.3367","0.71750000000000003","ESI pos"
"0.55_578.35","LPC 18:2 ","[M+Hac-H]-","SPJFYYJXNPEZDW-FTJOPAKQSA-N","578.346","0.55100000000000005","ESI neg"
"1.32_552.40","LPC 20:0 ","[M+H]+","UATOAILWGVYRQS-HHHXNRCGSA-N","552.40260000000001","1.3220000000000001","ESI pos"
"1.05_550.39","LPC 20:1 ","[M+H]+","GJTDRNFWIDPARY-GTPZACKGSA-N","550.38620000000003","1.05","ESI pos"
"0.80_548.37","LPC 20:2 ","[M+H]+","YYQVCMMXPIJVHY-ZOIJLGJPSA-N","548.37109999999996","0.80200000000000005","ESI pos"
"0.61_546.35","LPC 20:3 ","[M+H]+","BBNHCUBQEQJHIG-FZZJNMCHSA-N","546.35479999999995","0.61099999999999999","ESI pos"
"0.51_544.34","LPC 20:4 ","[M+H]+","GOMVPVRDBLLHQC-VEJNOCSESA-N","544.33979999999997","0.50900000000000001","ESI pos"
"0.40_542.32","LPC 20:5 ","[M+H]+","PDIGSOAOQOXRDU-WJPZTBRDSA-N","542.32489999999996","0.4","ESI pos"
"0.48_568.34","LPC 22:6 ","[M+H]+","LSOWKZULVQWMLY-APPDJCNMSA-N","568.33900000000006","0.48199999999999998","ESI pos"
"2.48_742.57","LPC 32:0 ","[M+Na]+","UNCMQZOMRTWPLO-UHFFFAOYSA-N","742.57159999999999","2.48","ESI pos"
"0.79_482.36","LPC O-16:0 ","[M+H]+","VLBPIWYTPAXCFJ-UHFFFAOYSA-N","482.36020000000002","0.78500000000000003","ESI pos"
"1.26_536.41","LPC O-20:1 ","[M+H]+","COFYPCHRMVFZHB-SEYXRHQNSA-N","536.40530000000001","1.262","ESI pos"
"1.64_566.45","LPC O-22:0 ","[M+H]+","XFOSVRQLSZRDHZ-UHFFFAOYSA-N","566.45370000000003","1.6419999999999999","ESI pos"
"1.88_594.49","LPC O-24:0 ","[M+H]+","GOHRUNJZWITRRS-UHFFFAOYSA-N","594.49009999999998","1.8779999999999999","ESI pos"
"1.65_592.47","LPC O-24:1 ","[M+H]+","LANVDNZVFGFCTB-PFONDFGASA-N","592.46960000000001","1.647","ESI pos"
"0.75_480.34","LPC P-16:0 or LPC O-16:1 ","[M+H]+","HTZINLFNXLXRBC-CQLBIITFSA-N","480.34300000000002","0.749","ESI pos"
"1.17_510.39","LPC p-18:0 ","[M+H]+","XKBJVQHMEXMFDZ-UHFFFAOYSA-N","510.392","1.167","ESI pos"
"0.84_508.38","LPC P-18:0 or LPC O-18:1 ","[M+H]+",NA,"508.3766","0.84","ESI pos"
"0.70_452.27","LPE 16:0 ","[M-H]-","CKPBBEOJHAPPBT-HXUWFJFHSA-N","452.27499999999998","0.70299999999999996","ESI neg"
"1.01_482.32","LPE 18:0 ","[M+H]+",NA,"482.32389999999998","1.0149999999999999","ESI pos"
"0.73_480.31","LPE 18:1 ","[M+H]+","PYVRVRFVLRNJLY-UHFFFAOYSA-N","480.30880000000002","0.73399999999999999","ESI pos"
"0.52_478.29","LPE 18:2 ","[M+H]+","DBHKHNGBVGWQJE-UHFFFAOYSA-N","478.29140000000001","0.51900000000000002","ESI pos"
"0.52_502.29","LPE 20:4 ","[M+H]+",NA,"502.29250000000002","0.51800000000000002","ESI pos"
"0.51_524.28","LPE 22:6 ","[M-H]- ","XEVRBOQZSXWGQO-PAUXXPOVSA-N","524.27840000000003","0.51200000000000001","ESI neg"
"0.78_438.30","LPE O-16:1 ","[M+H]+","RRTPYUGIBQLEDN-FPLPWBNLSA-N","438.29910000000001","0.77500000000000002","ESI pos"
"1.14_466.33","LPE O-18:1 ","[M+H]+","CDONWGCJDDHTLP-KTKRTIGZSA-N","466.32909999999998","1.1439999999999999","ESI pos"
"0.72_599.32","LPI 18:0 ","[M-H]-","MXAFDFDAIFZFET-UHFFFAOYNA-N","599.31600000000003","0.72199999999999998","ESI neg"
"0.74_524.30","LPS 18:0 ","[M-H]-","ZPDQFUYPBVXUKS-UHFFFAOYNA-N","524.29849999999999","0.73599999999999999","ESI neg"
"2.51_361.27","MG 20:4 ","[M-H2O+H]+","RCRCTBLIHCHWDZ-UHFFFAOYSA-N","361.27449999999999","2.5110000000000001","ESI pos"
"2.13_821.54","MGDG 16:0_20:5 ","[M+FA-H]-","GIEIKQLTPYMKIQ-LPNQNMOLSA-N","821.5394","2.1259999999999999","ESI neg"
"2.37_809.65","N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine ","[M+Na]+","FJJANLYCZUNFSE-UHFFFAOYSA-N","809.65340000000003","2.3650000000000002","ESI pos"
"1.80_858.58","OxPC 36:3+1O ","[M+Hac-H]-","REZDVJZZVDNTBB-HHZFRUDZSA-N","858.58420000000001","1.804","ESI neg"
"2.35_723.49","PA 18:1_18:1 ","[M+Na]+","MHUWZNTUIIFHAS-UHFFFAOYSA-N","723.4896","2.3490000000000002","ESI pos"
"0.93_300.29","palmitoyl ethanolamide ","[M+H]+","HXYVTAGFYLMHSO-UHFFFAOYSA-N","300.2894","0.92500000000000004","ESI pos"
"1.87_704.52","PC 14:0_16:1 ","[M+H]+","XGGMHQYOVYWRLV-IZNHTBNISA-N","704.52260000000001","1.8740000000000001","ESI pos"
"2.08_706.54_2.09_728.52","PC 16:0_14:0 ","[M+H]+_[M+Na]+","UIXXHROAQSBBOV-UHFFFAOYSA-N","706.5386_728.5191","2.0865","ESI pos"
"2.21_792.53","PC 16:0_18:2 ","[M+Cl]-","JLPULHDHAOZNQI-UHFFFAOYSA-N","792.53150000000005","2.2149999999999999","ESI neg"
"2.10_840.53_2.10_864.57","PC 16:0_22:6 ","[M+Cl]-_[M+Hac-H]-","IESVDEZGAHUQJU-UHFFFAOYSA-N","840.5297_864.5732","2.1","ESI neg"
"0.74_594.38","PC 16:0_5-oxovaleryl ","[M+H]+","RKIDALSACBQVTN-UHFFFAOYSA-N","594.37609999999995","0.74299999999999999","ESI pos"
