"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC O-40:2 or PC 40:2e",0.48006,1.1543,0.98372,0.96746,0.92739,0.95251,0.94314,0.93831
"TG 42:0",0.46929,0.56386,0.86426,0.81909,0.85037,0.92901,0.92427,0.92106
"LPC 18:1",0.46171,0.34662,0.48742,0.48487,0.46915,0.47681,0.58986,0.59054
"TG 46:2",0.4612,0.3436,0.61718,0.58591,0.66326,0.65173,0.64689,0.64525
"PC 18:0_18:1",0.4606,0.59766,0.55326,0.77248,0.76195,0.74584,0.78143,0.7869
"SM d38:0 Isomer A",0.45345,0.28312,0.28603,0.27438,0.55599,0.548,0.54285,0.54007
"PI 34:1 Isomer A",0.45066,0.58558,0.76347,0.82335,0.81568,0.79953,0.80903,0.80545
"Cer d41:1",0.44873,0.44718,0.47943,0.45531,0.5527,0.56505,0.56325,0.56069
"MGDG 16:0_20:5",0.44787,0.50534,0.48049,0.54144,0.60292,0.62707,0.6262,0.6294
"Cer-NP t42:0",0.44662,0.92586,0.84253,0.84021,0.80251,0.79694,0.79302,0.78959
"LPC 20:4",0.43572,0.31201,0.61721,0.79195,0.82214,0.80486,0.90462,0.91372
"SM d38:1",0.43253,0.34443,0.3188,0.31387,0.56321,0.56825,0.56614,0.56353
"LPS 18:0",0.43146,1.9504,1.7156,1.6437,1.575,1.5416,1.5364,1.5297
"FA 15:0 (pentadecylic acid)",0.42654,1.0361,0.8905,0.84863,0.89853,0.89696,0.88971,0.89954
"PC P-36:3 or PC O-36:4",0.42623,0.32373,1.1778,1.1346,1.0848,1.0651,1.0551,1.0524
"PC 42:2",0.42587,0.26375,0.72645,0.68856,0.68926,0.68223,0.67756,0.67803
"PC P-36:1 or PC O-36:2 A",0.4238,0.29222,0.61794,0.82815,0.79162,0.82623,0.82854,0.82717
"Cer 18:0;2O/24:1",0.4205,0.64107,0.5459,0.53036,0.63652,0.66637,0.66906,0.67696
"GlcCer d34:1",0.42006,0.27155,0.29556,0.29627,0.3348,0.33714,0.33392,0.34009
"SM d35:1",0.4195,0.45318,0.38987,0.4657,0.57121,0.56326,0.57164,0.56997
"LPC 20:2",0.41908,0.86014,0.73488,0.76402,0.7342,0.71872,0.75712,0.75655
"PI 38:4",0.41847,0.52945,1.4478,1.3726,1.3218,1.3018,1.2916,1.2854
"PE 36:2",0.41816,0.94254,1.1449,1.3071,1.2601,1.2376,1.228,1.2269
"PC P-42:5 or PC O-42:6 Isomer A",0.4164,0.39615,0.97533,0.98724,1.1042,1.0955,1.0987,1.0969
