"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM d34:1",1.1127,1.1258,0.99513,0.93474,0.88772,0.86298,0.84853,0.83811
"GlcCer d42:1",1.1126,0.6577,0.7604,0.72815,0.69604,0.6786,0.67485,0.69097
"16,16-dimethylprostaglandin A1",1.11,1.7614,1.9287,1.8297,1.8033,1.8853,1.8816,1.8608
"PC 36:4 Isomer A",1.1017,1.4413,1.4142,1.3341,1.3442,1.4157,1.3883,1.3757
"Cer d42:0",1.0975,1.0462,0.98912,0.96642,0.92953,1.0078,1.0031,0.99153
"LNAPE 18:2_N-19:0",1.0968,0.69797,0.65184,0.63108,0.69114,0.68156,0.67941,0.67935
"FA 18:3 (linolenic acid)",1.0915,1.5103,1.4164,1.52,1.4739,1.5103,1.4817,1.474
"LPE 18:2",1.091,0.67889,0.62065,0.8109,0.77072,0.79823,0.78835,0.77907
"TG 60:1",1.0906,0.99999,0.89091,0.84947,0.809,0.79067,0.79403,0.78433
"FA 22:2 (docosadienoic acid)",1.0871,0.926,0.85194,0.8214,0.78026,0.76364,0.758,0.75773
"SM d41:1",1.0816,1.1025,0.97823,0.9259,0.8868,0.86291,0.84896,0.83898
"TG 54:4",1.0806,0.97079,0.91136,0.90194,1.0392,1.0645,1.0777,1.0658
"TG 51:2 Isomer A",1.0799,0.92482,0.81745,0.89609,1.0689,1.0397,1.0322,1.0263
"LPC P-18:0 or LPC O-18:1",1.0764,1.2211,1.6427,1.5862,1.5486,1.5152,1.4897,1.4772
"Cer d42:2 Isomer A",1.0567,1.3351,1.1817,1.1455,1.1153,1.129,1.1149,1.1065
"TG 22:0",1.0526,1.0674,0.99817,0.95834,0.90994,0.97717,0.95809,0.96042
"SM d40:1 Isomer B",1.0491,1.2289,1.089,1.0238,0.97231,0.94534,0.92687,0.91646
"Cer d46:1",1.0483,1.044,0.92278,0.87337,0.83249,0.81487,0.80217,0.85471
"PE P-36:4 or PE O-36:5",1.0449,0.85178,1.5128,1.4666,1.3943,1.3578,1.3326,1.3164
"TG 52:4;O2|TG 16:0_18:1_18:3;O2",1.0415,1.2908,1.2348,1.1624,1.2893,1.2543,1.3283,1.3272
"DG 34:1",1.0412,0.78623,0.71781,0.82808,0.7874,0.77618,0.7931,0.78706
"PC 35:2 Isomer B",1.0348,0.64983,0.67865,0.63768,0.60757,0.59094,0.57942,0.58496
"PGE2",1.0322,0.61035,0.831,0.86975,0.82582,0.88029,0.90459,0.89392
"Cer d34:0",1.0252,0.71999,0.65485,0.65383,0.65795,0.79756,0.78399,0.77692
"PC 36:4 Isomer B",1.0189,0.6428,0.66153,0.62134,0.68746,0.66834,0.77406,0.7646
"Cer d46:2",1.0135,0.87223,0.7727,0.85107,0.88725,0.87328,0.85745,0.85942
"PE P-36:1 or PE O-36:2",1.0119,0.90983,1.2831,1.222,1.1714,1.1473,1.1366,1.1232
"LPC 14:0",1.009,1.0723,1.1442,1.0749,1.2021,1.1687,1.1648,1.1527
"LPC O-24:1",1.0086,0.66776,1.1338,1.0867,1.0522,1.0385,1.0196,1.0093
"SM 25:2;2O/15:1",1.0078,0.93183,0.8238,0.78039,0.76554,0.75166,0.73702,0.72924
"PC 29:0",1.0074,0.70196,0.78331,0.73563,0.72511,0.74421,0.73451,0.74414
"SM d43:1 Isomer B",1.0063,0.76211,0.68762,0.65399,0.62451,0.62125,0.65953,0.65897
"TG 51:4",1.0045,0.60143,0.5898,0.62306,0.68614,0.72469,0.71169,0.70391
"PC 40:6 Isomer B",1.0038,0.61986,0.64959,0.67482,0.83412,0.81787,0.94436,0.93556
"LPC 20:2",1.0026,0.66314,0.87918,0.88676,0.88344,0.86013,0.8449,0.87765
"SM d40:0 Isomer B",1.0015,1.2716,1.1341,1.0655,1.0319,1.0572,1.0366,1.0303
"SM d31:1",0.98879,0.75255,0.77988,0.76992,0.89106,0.86914,0.85303,0.84717
"Cer 20:0;2O/26:0",0.98122,1.1257,0.99603,0.93646,0.89586,0.90298,0.89332,0.88263
"LPS 18:0",0.97485,1.8681,1.679,1.5937,1.5343,1.4917,1.4643,1.4547
"PI 38:3",0.9639,0.94612,0.91161,0.944,0.9011,0.91224,0.89819,0.89559
"SM d42:2 Isomer B",0.95734,1.3383,1.1869,1.1153,1.0681,1.0387,1.0185,1.0091
"FA 20:2 (eicosadienoic acid)",0.95641,0.58085,0.54529,0.87515,0.84897,0.87633,0.87826,0.87396
"PE 34:2",0.94475,0.70864,1.1458,1.1198,1.0934,1.0632,1.0814,1.0775
"SM d38:0 Isomer A",0.9446,0.7212,0.67441,0.64004,0.61201,0.60281,0.61186,0.61289
"SM d36:0 Isomer B",0.94148,0.66274,0.59414,0.55832,0.5552,0.7303,0.71612,0.71582
"PC 38:6 Isomer A",0.93263,0.82183,0.86411,0.82945,0.80882,0.79157,0.84034,0.83009
"SPB 26:0;2O",0.92856,0.89992,0.94135,0.89715,0.88113,0.8573,0.84469,0.83429
"SM d44:1",0.92296,1.0563,0.98542,0.94304,0.90132,0.89903,0.90454,0.89491
"LPE O-16:1",0.92238,0.56344,0.5653,0.69745,0.6861,0.73588,0.72311,0.71511
"SM d44:2 isomer A",0.91972,1.1096,0.99916,0.97415,0.93838,0.94852,0.94533,0.93384
"PC 33:2",0.91949,0.78399,0.90209,0.85232,0.82309,0.80018,0.78513,0.77672
"TG 49:2",0.9188,0.63741,0.56915,0.57746,0.70043,0.69014,0.68008,0.67182
"TG 56:2 Isomer B",0.91188,0.54853,0.49487,0.66654,0.71843,0.70463,0.74747,0.74833
"TG 42:1",0.89823,1.7154,1.6199,1.5353,1.4685,1.4744,1.4462,1.4305
"LPC p-18:0",0.89545,0.88513,1.3347,1.3196,1.2724,1.2986,1.2732,1.2611
"PC 35:1",0.89155,0.95959,0.86033,0.86268,0.82466,0.80197,0.78922,0.78049
"TG 49:1",0.8811,0.52864,0.49235,0.54982,0.75393,0.73698,0.72642,0.71798
"Hex3Cer 18:1;2O/16:0",0.87779,1.2815,1.1556,1.0859,1.0319,1.0067,0.99515,0.98295
"TG 55:4",0.87215,0.88302,1.0103,0.96073,1.1303,1.112,1.0925,1.0799
"FA 18:2 (linoleic acid)",0.87171,1.2686,1.1232,1.366,1.2973,1.3052,1.2969,1.2816
"LPC 17:0",0.86634,1.2303,1.3691,1.2907,1.3233,1.2869,1.2633,1.2557
"TG 36:0",0.86524,1.0356,1.095,1.0944,1.0633,1.087,1.0702,1.0834
"acylcarnitine 20:1",0.86511,0.54616,0.48467,0.45575,0.44231,0.78913,0.77593,0.76636
"PC 32:0",0.86282,1.6884,1.5005,1.4127,1.3459,1.3146,1.2898,1.2743
"PC P-36:3 or PC O-36:4",0.86096,0.99341,0.87826,0.83572,0.79774,0.77552,0.79175,0.84314
"Cer d43:2",0.8569,0.8558,0.81561,0.77828,0.73899,0.74629,0.73222,0.74286
"TG 52:5",0.85471,0.50638,0.58501,0.56359,0.8401,0.92963,0.9233,0.91245
"PC 34:4",0.84181,0.50467,0.50404,0.474,0.52243,0.51225,0.59993,0.59295
"Cer 18:0;3O/24:0;(2OH)",0.83969,1.2166,1.0846,1.0325,1.0361,1.0333,1.0227,1.0101
"PS 36:2",0.83805,0.92299,1.002,0.97883,0.92948,0.91797,0.91083,0.90109
"PC 37:4",0.83379,0.51913,0.63992,0.60505,0.57729,0.56122,0.65357,0.64563
"SM 20:3;2O/24:0",0.83076,1.3143,1.1621,1.1421,1.1129,1.0847,1.0766,1.0673
"PC 31:0",0.82159,0.86809,0.76826,0.72302,0.69166,0.6734,0.66106,0.65658
"TG 44:1",0.81626,0.97142,0.86359,1.0542,1.0319,1.022,1.0446,1.0357
"PC O-34:0",0.81609,1.1893,1.0547,0.99987,0.95903,0.93264,0.93269,0.92581
"PC O-30:0",0.81583,0.72513,0.69418,0.65851,0.70784,0.69434,0.68463,0.69582
"acylcarnitine 08:1",0.80982,0.47918,0.57562,0.63188,0.75596,0.74089,0.73859,0.73203
"PI 36:1 Isomer A",0.80566,1.3277,1.2819,1.305,1.2461,1.2114,1.2093,1.2306
"TG 53:2",0.79897,0.80124,0.71084,0.83463,1.0454,1.0211,1.0174,1.007
"SM d41:2 Isomer A",0.79738,0.50775,0.52036,0.49742,0.48037,0.46961,0.46141,0.45967
"TG 58:9",0.79584,0.52381,0.47164,0.56318,0.58522,0.74714,0.74605,0.74724
"PC 37:3",0.79406,0.48458,0.46543,0.43795,0.43761,0.46255,0.47704,0.47543
"Cer d44:2",0.77738,1.0576,1.1019,1.0387,0.99005,1.0295,1.0273,1.0147
"TG 16:0_18:1_20:0",0.777,0.927,0.81947,0.94921,1.1091,1.0814,1.1064,1.0934
"PC O-32:0",0.77385,1.2887,1.145,1.0775,1.0264,1.0038,0.99688,0.99107
"PC O-33:0",0.77225,0.84705,0.75205,0.74812,0.72679,0.73951,0.75306,0.74408
"SM d36:0 Isomer A",0.76373,0.918,0.87079,0.81844,0.78971,0.77873,0.77234,0.78334
"LPE 16:0",0.76197,0.54749,0.484,0.69125,0.65651,0.63994,0.65848,0.65208
"PC 36:3 Isomer B",0.74919,0.64982,0.63451,0.59793,0.60053,0.61221,0.65185,0.65906
"PC 18:0_18:1",0.74465,0.96809,0.86125,0.85407,0.82759,0.81043,0.79473,0.78542
"TG 10:0_12:0_18:2",0.74362,1.1432,1.0123,0.9721,0.92524,0.90721,0.89154,0.88617
"LPE 20:4",0.73938,0.63963,0.85037,1.192,1.1441,1.1122,1.1283,1.1148
"LPC O-22:0",0.73926,0.44704,1.0117,0.97499,0.92733,0.93758,0.93317,0.94087
"TG 34:0",0.73136,1.2889,1.2256,1.2182,1.2224,1.2118,1.1955,1.201
"CE 18:2",0.72842,0.45491,0.47269,0.81696,0.79617,0.79716,0.78379,0.77732
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.72237,0.46913,0.42208,0.43221,0.53031,0.51596,0.59408,0.58702
"PC 42:2",0.71942,0.83691,0.77079,0.73316,0.70042,0.6849,0.6822,0.67805
"TG 49:3",0.719,1.1016,1.0033,0.95468,1.0105,0.98319,0.96654,0.95516
"TG 51:0",0.71892,0.82435,0.73416,0.72775,0.74308,0.75622,0.74242,0.73662
"TG 51:3",0.7178,0.67457,0.61467,0.68408,0.89512,0.92097,0.92328,0.91196
"Cer-NP t42:0",0.71662,0.74573,0.86138,0.81708,0.81838,0.80881,0.79518,0.80791
"acylcarnitine 12:1",0.71597,0.98941,0.98368,0.92579,0.90415,0.89695,0.87944,0.90082
"Cer-NDS d39:0",0.71534,0.74377,0.65961,0.63272,0.63834,0.73251,0.72217,0.78245
"TG 46:1",0.70918,1.1127,1.0224,1.0934,1.048,1.0306,1.0105,1.0216
"PC P-42:4 or PC O-42:5",0.7057,0.41722,0.40924,0.45671,0.48929,0.59058,0.59962,0.59238
"LPE 18:1",0.69355,0.47969,0.45712,0.75244,0.71996,0.71165,0.69773,0.6892
"TG 43:0",0.69171,1.3736,1.2283,1.1695,1.1415,1.133,1.1236,1.1157
"Cer 18:2;2O/22:0",0.68378,0.44072,0.44268,0.51085,0.49244,0.6139,0.64691,0.63942
"TG 56:1",0.68083,0.67557,0.59713,0.62249,0.60394,0.5873,0.60967,0.61412
"PC 33:0",0.67327,0.80512,0.72268,0.68591,0.74235,0.72599,0.73947,0.75264
"LPC O-24:0",0.67142,0.7959,0.77593,0.73036,0.70067,0.73336,0.72188,0.71332
"TG 51:1 Isomer B",0.66707,0.39475,0.35364,0.5819,0.81794,0.81506,0.80994,0.80018
"LPC O-16:0",0.66533,0.99417,1.4393,1.4025,1.3905,1.3697,1.343,1.3475
"Cer 20:0;2O/25:0",0.66418,1.3358,1.228,1.1708,1.1196,1.0916,1.0971,1.0837
"palmitoyl ethanolamide",0.66009,0.75583,0.72241,0.75088,0.75325,0.77416,0.75975,0.77146
"acylcarnitine 18:1",0.65559,1.7974,1.594,1.4984,1.4231,1.4787,1.4541,1.4375
"SM 42:7;3O",0.65418,0.38865,0.52001,0.81685,0.77675,1.1125,1.0914,1.1695
"LPC P-16:0 or LPC O-16:1",0.65307,0.63665,0.94098,0.92054,0.98585,1.034,1.0269,1.0174
"Cer d40:1",0.65226,0.99808,0.89186,0.85217,0.80935,0.84517,0.84961,0.83914
"PEtOH 16:0_16:0",0.6496,1.3295,1.324,1.4742,1.4522,1.4295,1.4081,1.4737
"Cer-NDS d41:0",0.64554,0.84283,0.75387,0.70974,0.67391,0.68098,0.68742,0.74821
"GlcCer d40:1",0.64196,0.46412,0.51328,0.53321,0.51366,0.50479,0.50635,0.56509
"PE O-38:6 Isomer A",0.64065,0.91953,0.86607,0.91342,0.8791,0.86235,0.85034,0.84535
"Cer-NDS d43:0",0.63333,1.0291,0.91169,0.8695,0.83402,0.82925,0.81494,0.82235
"SM 42:5;3O",0.63292,0.40078,0.35933,0.33904,0.34579,0.3411,0.37414,0.40279
"lactosylceramide d18:1/24:1 15Z",0.6327,1.2103,1.0706,1.0136,0.96786,0.95627,0.9695,0.96064
"Cer 18:0;2O/24:0",0.63229,0.46657,0.666,0.6305,0.65084,0.68982,0.69887,0.74015
"LPC 20:4",0.63204,0.68365,0.6695,0.85338,0.86376,0.84565,0.96136,0.98838
"TG 52:4",0.62912,0.64814,0.82881,0.80825,1.1645,1.2079,1.2111,1.1963
"trihydroxyoctadec-15-enoic acid",0.62221,0.47462,0.42633,0.43668,0.46657,0.47761,0.65733,0.68644
"SM d42:1",0.62195,0.96764,0.85648,0.81935,0.77965,0.76436,0.76027,0.75114
"Cer d43:1",0.62051,0.49345,0.43677,0.43611,0.4474,0.47284,0.4973,0.4916
"CE_13-HODE",0.61496,0.65587,0.59467,0.57809,0.55086,0.66382,0.65297,0.66082
"FA 20:3 (homo-gamma-linolenic acid)",0.61309,0.9243,0.81759,1.4367,1.3882,1.3504,1.324,1.3133
"PC O-30:1",0.61082,0.43309,0.70407,0.71918,0.86374,0.83972,0.82402,0.81472
"PC 38:2",0.60604,0.42692,0.7006,0.6602,0.62845,0.6265,0.62206,0.61671
"TG 64:3",0.60401,1.2296,1.1682,1.1258,1.069,1.0549,1.0359,1.0231
"Phosphatidylethanolamine alkenyl 18:0-18:2",0.59983,0.55076,1.0664,1.026,0.99363,0.99694,0.97773,0.97644
"PE 38:6",0.59671,1.0416,1.2521,1.2704,1.329,1.3001,1.2807,1.2649
"TG 14:0_16:0_17:1",0.59554,1.1269,0.99608,0.93547,0.91751,0.89195,0.87969,0.87276
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",0.59176,0.60478,0.54308,0.53014,0.50346,0.53759,0.53403,0.57502
"PI 16:0_16:0",0.59078,0.92079,0.82189,0.79277,0.79432,0.84978,0.90426,0.92403
"SM d32:2",0.58846,0.35214,0.41942,0.52171,0.63614,0.63578,0.62722,0.6202
"Cer d41:2",0.58361,0.50705,0.58885,0.62166,0.59166,0.59747,0.61274,0.61783
"LPC 20:3",0.5824,0.38656,1.0053,1.1066,1.0761,1.0462,1.0472,1.081
"Cer d42:1",0.57972,1.0684,0.94604,0.89408,0.8533,0.85927,0.88577,0.87491
"PE O-18:1_16:0",0.57354,0.34017,0.68527,0.64407,0.62294,0.60984,0.6719,0.75244
"PC 38:3",0.56411,0.98599,0.93694,0.91201,0.97546,0.95679,0.96461,0.96071
"PI 38:4",0.55225,0.83371,1.0147,1.0108,0.95971,0.94403,1.007,1.0012
"PC O-42:2 or PC 42:2e",0.54702,0.36504,0.46514,0.49634,0.52445,0.53777,0.52747,0.53062
"PEtOH 16:0_16:1",0.53801,0.44561,0.45258,0.69572,0.87201,0.8574,0.88421,0.9465
"LPC 20:1",0.53383,0.81222,1.1835,1.1533,1.1225,1.1467,1.1322,1.1217
"PC 31:1",0.53298,0.5131,0.45683,0.57477,0.63148,0.6344,0.6222,0.62048
"PE 38:6 Isomer B",0.52962,0.43505,0.90035,0.84564,0.80886,0.79117,0.77635,0.76973
"PC 40:1",0.52949,0.31332,0.30007,0.47774,0.73088,0.7214,0.74078,0.74568
"PE P-40:4 or PE O-40:5 Isomer A",0.52923,0.43908,1.5959,1.4988,1.4237,1.3848,1.3631,1.3527
"PE-O 18:1_22:6",0.52445,1.255,1.5704,1.4892,1.4215,1.3906,1.3669,1.3555
